Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
A.J. Burnett,2015,Pirates,9,7,26,26,0,164.0,174,11,49,143,64,0,0,1,58,11,0,2,0,699,6,0.6,2.69,7.85,2.92,13.5,53.4,9.3,77.8,3.18,0.336,3.36,1.36,1.76,2.9,1,8500000,8500000.0
Aaron Harang,2015,Phillies,6,15,29,29,0,172.1,189,26,51,108,100,0,0,0,93,6,0,3,0,748,4,1.36,2.66,5.64,2.12,7.6,36.1,10.5,69.7,4.86,0.293,4.83,1.39,-1.51,0.9,1,5000000,5000000.0
Alexi Ogando,2015,Red Sox,3,1,64,0,0,65.1,59,12,28,53,29,0,4,2,29,3,12,2,0,277,1,1.65,3.86,7.3,1.89,9.0,42.1,16.9,83.3,3.99,0.26,5.32,1.33,0.05,-0.9,1,1500000,1500000.0
Andrew Miller,2015,Yankees,3,2,60,0,0,61.2,33,5,20,100,16,36,2,0,14,5,0,1,0,246,2,0.73,2.92,14.59,5.0,32.5,48.3,12.5,82.4,2.04,0.24100000000000002,2.16,0.86,4.1,2.0,4,36000000,9000000.0
Anthony Swarzak,2015,Indians,0,0,10,0,0,13.1,18,1,4,13,9,0,0,0,5,0,0,1,0,61,0,0.68,2.7,8.78,3.25,14.8,43.2,9.1,63.1,3.38,0.395,3.06,1.65,-0.13,0.1,1,900000,900000.0
Brandon Beachy,2015,Dodgers,0,1,2,2,0,8.0,10,1,6,5,7,0,0,0,7,0,0,2,0,39,0,1.13,6.75,5.63,0.83,-2.6,26.9,9.1,61.6,7.88,0.33299999999999996,5.76,2.0,-0.39,0.0,1,2750000,2750000.0
Brandon McCarthy,2015,Dodgers,3,0,4,4,0,23.0,24,9,4,29,15,0,0,0,15,0,0,0,0,94,0,3.52,1.57,11.35,7.25,26.6,38.3,37.5,84.4,5.87,0.28800000000000003,6.22,1.22,-0.27,-0.3,4,48000000,12000000.0
Brandon Morrow,2015,Padres,2,0,5,5,0,33.0,29,3,7,23,10,0,0,0,10,0,0,0,0,126,0,0.82,1.91,6.27,3.29,12.7,47.4,10.0,81.8,2.73,0.28,3.56,1.09,0.68,0.5,1,2500000,2500000.0
Brett Anderson,2015,Dodgers,10,9,31,31,1,180.1,194,18,46,116,82,0,0,2,74,2,0,2,0,750,4,0.9,2.3,5.79,2.52,9.3,66.3,17.0,73.8,3.69,0.31,3.94,1.33,-0.31,1.6,1,10000000,10000000.0
Burke Badenhop,2015,Reds,2,4,68,0,0,66.1,71,4,20,36,30,0,2,0,29,0,7,4,0,285,0,0.54,2.71,4.88,1.8,5.6,46.7,5.2,71.4,3.93,0.298,3.74,1.37,-1.09,0.3,1,2500000,2500000.0
Carlos Villanueva,2015,Cardinals,4,3,35,0,0,61.0,50,6,21,55,21,2,0,0,20,2,0,2,0,250,1,0.89,3.1,8.11,2.62,13.6,42.4,9.1,80.5,2.95,0.265,3.74,1.16,0.11,0.2,1,2000000,2000000.0
Casey Janssen,2015,Nationals,2,5,48,0,0,40.0,38,5,8,27,22,0,3,0,22,1,13,3,0,166,1,1.13,1.8,6.08,3.38,11.5,29.4,8.6,62.5,4.95,0.264,4.08,1.15,-0.72,0.0,1,5000000,5000000.0
Chad Billingsley,2015,Phillies,2,3,7,7,0,37.0,53,5,8,15,26,0,0,0,24,1,0,0,0,165,2,1.22,1.95,3.65,1.88,4.2,45.3,11.6,65.5,5.84,0.353,4.81,1.65,-0.76,0.1,1,1500000,1500000.0
Chris Capuano,2015,Yankees,0,4,22,4,0,40.2,52,6,22,38,38,0,0,0,36,3,1,1,0,196,0,1.33,4.87,8.41,1.73,8.2,43.1,14.0,56.9,7.97,0.36200000000000004,5.03,1.82,-1.26,-0.1,1,5000000,5000000.0
Chris Young,2015,Royals,11,6,34,18,0,123.1,91,16,43,83,44,0,1,0,42,0,2,0,0,500,5,1.17,3.14,6.06,1.93,8.0,25.5,7.7,80.7,3.06,0.209,4.52,1.09,0.99,0.9,1,675000,675000.0
Colby Lewis,2015,Rangers,17,9,33,33,2,204.2,211,26,42,142,114,0,0,0,106,11,0,2,1,861,5,1.14,1.85,6.24,3.38,11.6,33.7,8.9,65.9,4.66,0.289,4.17,1.24,-0.09,2.5,1,4000000,4000000.0
Craig Breslow,2015,Red Sox,0,4,45,2,0,65.0,69,12,23,46,33,1,3,0,30,2,1,5,0,280,2,1.66,3.18,6.37,2.0,8.2,35.1,12.4,79.0,4.15,0.289,5.27,1.42,-0.76,-0.6,1,2000000,2000000.0
David Robertson,2015,White Sox,6,5,60,0,0,63.1,46,7,13,86,27,34,7,0,24,1,0,2,0,250,4,0.99,1.85,12.22,6.62,29.2,35.6,13.7,65.7,3.41,0.273,2.52,0.93,0.4,1.8,4,46000000,11500000.0
Dustin McGowan,2015,Phillies,1,2,14,1,0,23.1,29,7,20,21,21,0,0,0,18,0,0,1,0,118,1,2.7,7.71,8.1,1.05,0.9,39.0,25.9,71.4,6.94,0.314,7.81,2.1,-0.31,-0.6,1,507500,507500.0
Edinson Volquez,2015,Royals,13,9,34,33,1,200.1,190,16,72,155,89,0,0,0,79,8,0,1,0,850,3,0.72,3.23,6.96,2.15,9.8,46.0,8.0,73.1,3.55,0.29,3.82,1.31,0.65,2.5,2,20000000,10000000.0
Eric Stults,2015,Braves,1,5,9,8,0,47.2,48,10,13,31,31,0,0,0,31,0,0,1,0,196,1,1.89,2.45,5.85,2.38,9.2,37.6,16.1,63.8,5.85,0.268,5.38,1.28,-0.74,-0.3,1,2000000,2000000.0
Ervin Santana,2015,Twins,7,5,17,17,0,108.0,104,12,36,82,50,0,0,0,48,4,0,2,0,457,3,1.0,3.0,6.83,2.28,10.1,40.9,9.7,73.9,4.0,0.285,4.17,1.3,0.21,1.4,4,55000000,13750000.0
Francisco Liriano,2015,Pirates,12,7,31,31,0,186.2,155,15,70,205,75,0,0,1,70,5,0,1,0,773,10,0.72,3.38,9.88,2.93,17.5,51.2,11.7,74.2,3.38,0.293,3.19,1.21,0.34,3.7,3,39000000,13000000.0
