"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Johan Santana","Twins","9.44","1.81","5.21","0.92","26.5 %","5.1 %","21.5 %",".213","1.00",".269","77.7 %","62","70","70","2.77","3.04","-0.27","3.16","3.13","755"
"Brandon Webb","Diamondbacks","6.82","1.91","3.56","0.57","18.7 %","5.3 %","13.5 %",".242","1.13",".287","72.1 %","66","68","67","3.10","3.18","-0.07","3.03","2.99","1692"
"Jeremy Bonderman","Tigers","8.50","2.69","3.16","0.76","22.4 %","7.1 %","15.3 %",".256","1.30",".318","69.2 %","89","73","78","4.08","3.29","0.79","3.52","3.66","1667"
"Roy Oswalt","Astros","6.77","1.55","4.37","0.73","18.5 %","4.2 %","14.3 %",".258","1.17",".302","78.7 %","67","72","79","2.98","3.30","-0.32","3.57","3.74","571"
"CC Sabathia","Indians","8.03","2.06","3.91","0.79","21.5 %","5.5 %","16.0 %",".242","1.17",".294","71.7 %","71","75","80","3.22","3.30","-0.08","3.63","3.67","404"
"John Lackey","Angels","7.86","2.98","2.64","0.58","20.6 %","7.8 %","12.8 %",".241","1.26",".297","70.4 %","79","75","91","3.56","3.35","0.20","4.11","4.08","1507"
"Chris Carpenter","Cardinals","7.47","1.75","4.28","0.85","20.5 %","4.8 %","15.7 %",".230","1.07",".271","76.3 %","71","77","74","3.09","3.44","-0.35","3.36","3.44","1292"
"John Smoltz","Braves","8.19","2.13","3.84","0.89","22.0 %","5.7 %","16.3 %",".247","1.19",".299","76.0 %","78","76","77","3.49","3.44","0.05","3.52","3.59","115"
"Mike Mussina","Yankees","7.84","1.60","4.91","1.00","21.4 %","4.4 %","17.0 %",".241","1.11",".284","70.4 %","77","77","82","3.51","3.46","0.05","3.68","3.62","837"
"Jake Peavy","Padres","9.56","2.76","3.47","1.02","25.4 %","7.3 %","18.1 %",".240","1.23",".304","72.7 %","99","81","81","4.09","3.51","0.58","3.70","3.53","1051"
"Curt Schilling","Red Sox","8.07","1.24","6.54","1.24","21.9 %","3.4 %","18.6 %",".274","1.22",".324","76.0 %","84","82","78","3.97","3.59","0.38","3.50","3.48","73"
"Erik Bedard","Orioles","7.84","3.16","2.48","0.73","20.3 %","8.2 %","12.1 %",".255","1.35",".309","71.9 %","82","77","84","3.76","3.59","0.16","3.80","3.99","126"
"Roy Halladay","Blue Jays","5.40","1.39","3.88","0.78","15.1 %","3.9 %","11.2 %",".249","1.10",".276","74.9 %","69","79","77","3.19","3.60","-0.41","3.45","3.62","1303"
"Kelvim Escobar","Angels","6.99","2.38","2.94","0.81","18.6 %","6.3 %","12.3 %",".261","1.28",".306","68.9 %","80","81","89","3.61","3.62","0.00","4.00","4.10","1298"
"Aaron Harang","Reds","8.30","2.15","3.86","1.08","21.8 %","5.6 %","16.1 %",".260","1.27",".312","73.8 %","82","78","82","3.76","3.68","0.09","3.72","3.74","1451"
"Derek Lowe","Dodgers","5.08","2.27","2.24","0.58","13.5 %","6.0 %","7.5 %",".259","1.27",".289","70.4 %","83","82","80","3.63","3.68","-0.05","3.65","3.53","199"
"Greg Maddux","- - -","5.01","1.59","3.16","0.86","13.6 %","4.3 %","9.3 %",".265","1.22",".289","64.5 %","92","83","85","4.20","3.80","0.40","3.85","4.19","104"
"Javier Vazquez","White Sox","8.17","2.49","3.29","1.02","21.1 %","6.4 %","14.7 %",".257","1.29",".308","65.8 %","102","81","91","4.84","3.86","0.98","4.10","3.89","801"
"Kevin Millwood","Rangers","6.57","2.22","2.96","0.96","17.3 %","5.8 %","11.5 %",".268","1.31",".306","67.6 %","95","84","89","4.52","3.87","0.65","4.02","4.18","106"
"Jake Westbrook","Indians","4.64","2.34","1.98","0.64","12.1 %","6.1 %","6.0 %",".292","1.43",".322","70.2 %","92","87","89","4.17","3.88","0.30","4.00","4.09","412"
"Brad Penny","Dodgers","7.05","2.57","2.74","0.90","18.2 %","6.6 %","11.6 %",".275","1.38",".321","72.2 %","98","86","92","4.33","3.89","0.45","4.17","4.20","535"
"Felix Hernandez","Mariners","8.29","2.83","2.93","1.08","21.6 %","7.4 %","14.2 %",".260","1.34",".312","68.2 %","103","88","75","4.52","3.91","0.62","3.37","3.48","4772"
"Chien-Ming Wang","Yankees","3.14","2.15","1.46","0.50","8.4 %","5.8 %","2.7 %",".275","1.31",".292","72.2 %","80","87","93","3.63","3.91","-0.28","4.19","4.27","2074"
"Jason Schmidt","Giants","7.59","3.38","2.25","0.89","20.1 %","9.0 %","11.2 %",".234","1.26",".277","73.7 %","79","89","98","3.59","3.95","-0.36","4.42","4.35","1131"
"Matt Cain","Giants","8.45","4.11","2.06","0.85","21.9 %","10.6 %","11.3 %",".217","1.28",".263","69.8 %","92","89","101","4.15","3.96","0.19","4.59","4.39","4732"
"Dave Bush","Brewers","7.11","1.63","4.37","1.11","19.1 %","4.4 %","14.7 %",".247","1.14",".282","66.2 %","98","88","84","4.41","3.98","0.44","3.80","3.77","4635"
"Chris Capuano","Brewers","7.08","1.91","3.70","1.18","18.6 %","5.0 %","13.6 %",".260","1.25",".295","72.4 %","90","89","90","4.03","4.04","-0.01","4.08","4.05","1701"
"Jason Jennings","Rockies","6.03","3.61","1.67","0.72","15.7 %","9.4 %","6.3 %",".253","1.37",".289","74.0 %","77","87","103","3.78","4.09","-0.32","4.66","4.85","434"
"Jose Contreras","White Sox","6.15","2.53","2.44","0.92","16.1 %","6.6 %","9.5 %",".253","1.27",".283","68.4 %","90","86","100","4.27","4.10","0.17","4.51","4.47","1660"
"Dan Haren","Athletics","7.10","1.82","3.91","1.25","18.9 %","4.8 %","14.1 %",".256","1.21",".289","72.2 %","92","91","86","4.12","4.12","0.00","3.87","3.88","1757"
"Andy Pettitte","Astros","7.47","2.94","2.54","1.13","19.2 %","7.5 %","11.6 %",".278","1.44",".324","72.0 %","94","90","82","4.20","4.13","0.07","3.72","4.00","840"
"Zach Duke","Pirates","4.89","2.84","1.72","0.71","12.5 %","7.3 %","5.2 %",".297","1.50",".328","69.9 %","101","93","98","4.47","4.13","0.34","4.44","4.71","3840"
"Carlos Zambrano","Cubs","8.83","4.84","1.83","0.84","22.9 %","12.5 %","10.4 %",".204","1.29",".252","75.6 %","73","89","94","3.41","4.14","-0.73","4.24","4.39","305"
"Brett Myers","Phillies","8.59","2.86","3.00","1.32","22.7 %","7.6 %","15.1 %",".253","1.30",".301","76.1 %","85","89","81","3.91","4.14","-0.23","3.68","3.76","962"
"Clay Hensley","Padres","5.87","3.66","1.61","0.72","15.5 %","9.7 %","5.8 %",".246","1.34",".278","73.7 %","90","96","96","3.71","4.15","-0.45","4.37","4.62","4593"
"Bronson Arroyo","Reds","6.88","2.39","2.88","1.16","18.6 %","6.5 %","12.1 %",".241","1.19",".270","78.0 %","72","89","93","3.29","4.15","-0.86","4.20","4.23","978"
"Joe Blanton","Athletics","4.96","2.69","1.84","0.79","12.5 %","6.8 %","5.7 %",".304","1.54",".335","68.9 %","108","92","107","4.82","4.16","0.66","4.83","4.94","4849"
"Aaron Cook","Rockies","3.89","2.33","1.67","0.72","10.1 %","6.0 %","4.0 %",".284","1.40",".302","70.3 %","86","89","96","4.23","4.20","0.04","4.33","4.49","1571"
"Orlando Hernandez","- - -","9.09","3.38","2.69","1.22","23.5 %","8.7 %","14.7 %",".248","1.33",".302","70.0 %","104","93","95","4.66","4.24","0.42","4.29","3.97","823"
"Vicente Padilla","Rangers","7.02","3.15","2.23","0.94","17.9 %","8.0 %","9.9 %",".262","1.38",".304","70.2 %","95","92","97","4.50","4.26","0.24","4.38","4.38","964"
"Randy Johnson","Yankees","7.55","2.63","2.87","1.23","20.0 %","7.0 %","13.0 %",".246","1.24",".281","61.8 %","110","95","94","5.00","4.27","0.74","4.26","4.09","60"
"Ervin Santana","Angels","6.22","3.09","2.01","0.93","16.7 %","8.3 %","8.4 %",".237","1.23",".265","67.1 %","95","96","107","4.28","4.29","-0.01","4.84","4.71","3200"
"Tom Glavine","Mets","5.95","2.82","2.11","1.00","15.6 %","7.4 %","8.2 %",".261","1.33",".290","73.6 %","87","96","94","3.82","4.30","-0.48","4.28","4.55","90"
"Dontrelle Willis","Marlins","6.45","3.34","1.93","0.85","16.4 %","8.5 %","7.9 %",".268","1.42",".308","75.0 %","88","97","100","3.87","4.31","-0.44","4.52","4.55","1703"
"Scott Olsen","Marlins","8.27","3.74","2.21","1.15","21.8 %","9.9 %","12.0 %",".236","1.30",".280","70.5 %","92","97","90","4.04","4.33","-0.29","4.10","4.16","4529"
"Justin Verlander","Tigers","6.00","2.90","2.07","1.02","16.0 %","7.7 %","8.3 %",".263","1.33",".294","78.3 %","80","96","98","3.63","4.35","-0.72","4.42","4.61","8700"
"Jon Garland","White Sox","4.77","1.75","2.73","1.11","12.4 %","4.6 %","7.9 %",".290","1.36",".309","70.7 %","95","91","101","4.51","4.35","0.16","4.58","4.73","232"
"Doug Davis","Brewers","7.04","4.51","1.56","0.84","17.6 %","11.3 %","6.3 %",".258","1.51",".302","68.1 %","109","97","103","4.91","4.38","0.54","4.66","4.86","1244"
"Jeff Francis","Rockies","5.29","3.12","1.70","0.81","13.9 %","8.2 %","5.7 %",".246","1.29",".270","68.9 %","85","93","107","4.16","4.38","-0.22","4.83","4.92","4684"
"Mark Hendrickson","- - -","5.41","3.39","1.60","0.93","13.8 %","8.6 %","5.2 %",".265","1.43",".291","70.6 %","95","100","106","4.21","4.49","-0.28","4.81","4.91","1574"
"Matt Morris","Giants","5.07","2.73","1.86","0.95","13.0 %","7.0 %","6.0 %",".264","1.35",".285","65.1 %","110","101","104","4.98","4.51","0.47","4.70","4.82","1172"
"Miguel Batista","Diamondbacks","4.80","3.66","1.31","0.79","12.1 %","9.2 %","2.9 %",".282","1.53",".308","69.3 %","98","97","104","4.58","4.52","0.06","4.72","5.00","46"
"Tim Hudson","Braves","5.81","3.26","1.78","1.03","14.7 %","8.2 %","6.5 %",".270","1.44",".298","67.4 %","108","101","92","4.86","4.55","0.31","4.19","4.30","921"
"Jon Lieber","Phillies","5.36","1.29","4.17","1.45","14.0 %","3.4 %","10.6 %",".287","1.31",".303","67.0 %","107","98","92","4.93","4.58","0.35","4.17","4.35","287"
"Ian Snell","Pirates","8.18","3.58","2.28","1.40","20.8 %","9.1 %","11.7 %",".269","1.46",".314","72.8 %","107","103","89","4.74","4.58","0.16","4.03","4.20","2227"
"Freddy Garcia","White Sox","5.62","2.00","2.81","1.33","14.7 %","5.2 %","9.5 %",".265","1.28",".282","70.1 %","96","96","101","4.53","4.58","-0.05","4.57","4.55","1077"
"Chris Young","Padres","8.23","3.46","2.38","1.41","22.3 %","9.4 %","12.9 %",".203","1.13",".226","80.7 %","84","106","103","3.46","4.60","-1.14","4.68","4.44","3196"
"Gil Meche","Mariners","7.52","4.05","1.86","1.16","19.2 %","10.4 %","8.9 %",".255","1.43",".295","70.0 %","102","104","101","4.48","4.63","-0.14","4.55","4.56","1089"
"Brad Radke","Twins","4.60","1.77","2.59","1.33","12.1 %","4.6 %","7.4 %",".300","1.41",".315","72.8 %","97","106","102","4.32","4.66","-0.33","4.61","4.81","748"
"Kenny Rogers","Tigers","4.37","2.74","1.60","1.01","11.7 %","7.3 %","4.4 %",".251","1.26",".262","72.3 %","84","103","104","3.84","4.69","-0.85","4.69","4.90","1277"
"Jeff Suppan","Cardinals","4.93","3.27","1.51","0.99","12.4 %","8.2 %","4.2 %",".272","1.45",".293","72.3 %","94","106","104","4.12","4.70","-0.58","4.70","4.97","633"
"Nate Robertson","Tigers","5.91","2.89","2.04","1.25","15.6 %","7.6 %","8.0 %",".256","1.31",".277","76.1 %","84","104","97","3.84","4.72","-0.88","4.39","4.55","1620"
"Cliff Lee","Indians","5.79","2.60","2.22","1.30","14.6 %","6.6 %","8.1 %",".275","1.41",".296","70.6 %","97","106","114","4.40","4.73","-0.33","5.16","4.94","1636"
"Jarrod Washburn","Mariners","4.96","2.65","1.87","1.20","12.7 %","6.8 %","5.9 %",".265","1.35",".279","69.8 %","106","107","112","4.67","4.78","-0.11","5.07","5.03","40"
"Paul Byrd","Indians","4.42","1.91","2.32","1.31","10.9 %","4.7 %","6.2 %",".305","1.51",".318","65.1 %","108","108","107","4.88","4.79","0.09","4.83","4.99","594"
