Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,BB%,K%,BB/K,BABIP,HBP,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA
Albert Pujols,Cardinals,148,524,641,187,106,44,0,37,100,116,104,34,54,16.2,8.4,1.93,0.34,5,8,0,16,7,3,-1.0,0.29600000000000004,0.45899999999999996,69.1,0.35700000000000004,0.462,0.653,1.114,8.7,184,6.49
Chase Utley,Phillies,159,607,707,177,99,41,4,33,113,104,64,14,104,9.1,14.7,0.62,0.301,27,8,1,9,14,2,21.8,0.244,0.389,35.1,0.292,0.38,0.535,0.915,8.2,134,1.42
Lance Berkman,Astros,159,554,665,173,94,46,4,29,114,106,99,18,108,14.9,16.2,0.92,0.341,7,5,0,13,18,4,1.6,0.255,0.41700000000000004,48.7,0.312,0.42,0.5670000000000001,0.986,7.7,156,6.91
Hanley Ramirez,Marlins,153,589,693,177,106,34,4,33,125,67,92,9,122,13.3,17.6,0.75,0.32899999999999996,8,4,0,5,35,12,7.6,0.239,0.40299999999999997,42.7,0.301,0.4,0.54,0.94,7.5,144,4.84
Grady Sizemore,Indians,157,634,745,170,93,39,5,33,101,90,98,14,130,13.2,17.4,0.75,0.29,11,2,0,5,38,5,10.1,0.233,0.376,29.3,0.268,0.374,0.502,0.8759999999999999,7.4,131,3.76
Carlos Beltran,Mets,161,606,706,172,100,40,5,27,116,112,92,13,96,13.0,13.6,0.96,0.297,1,6,1,11,25,3,14.8,0.21600000000000003,0.375,27.0,0.284,0.376,0.5,0.8759999999999999,7.3,129,5.12
Chipper Jones,Braves,128,439,534,160,113,24,1,22,82,75,90,16,61,16.9,11.4,1.48,0.38299999999999995,1,4,0,13,4,0,4.6,0.21,0.445,51.7,0.364,0.47,0.574,1.044,7.1,174,3.69
David Wright,Mets,160,626,736,189,112,42,2,33,115,124,94,5,118,12.8,16.0,0.8,0.321,4,11,0,15,15,5,8.2,0.23199999999999998,0.396,41.3,0.302,0.39,0.534,0.924,7.0,143,4.2
Mark Teixeira,Angels,157,574,685,177,103,41,0,33,102,121,97,13,93,14.2,13.6,1.04,0.316,7,7,0,17,2,0,1.7,0.244,0.41,46.1,0.308,0.41,0.552,0.9620000000000001,6.9,152,6.14
Dustin Pedroia,Red Sox,157,653,726,213,140,54,2,17,118,83,50,1,52,6.9,7.2,0.96,0.331,7,9,7,17,20,1,12.1,0.16699999999999998,0.377,29.4,0.326,0.376,0.493,0.8690000000000001,6.3,127,3.19
Kevin Youkilis,Red Sox,145,538,621,168,92,43,4,29,91,115,62,7,108,10.0,17.4,0.57,0.33899999999999997,12,9,0,11,3,5,2.5,0.257,0.406,40.0,0.312,0.39,0.569,0.958,6.1,146,2.39
Nick Markakis,Orioles,157,595,697,182,113,48,1,20,106,87,99,7,113,14.2,16.2,0.88,0.35,2,1,0,10,10,7,4.9,0.185,0.392,36.6,0.306,0.406,0.491,0.897,6.0,138,2.04
Manny Ramirez,Dodgers,153,552,654,183,109,36,1,37,102,121,87,24,124,13.3,19.0,0.7,0.37,11,4,0,17,3,0,-14.4,0.27,0.43200000000000005,56.7,0.332,0.43,0.601,1.031,5.9,165,7.2
Matt Holliday,Rockies,139,539,623,173,108,38,2,25,107,88,74,6,104,11.9,16.7,0.71,0.359,8,2,0,9,28,2,-3.3,0.217,0.409,41.6,0.321,0.409,0.5379999999999999,0.9470000000000001,5.9,141,4.58
Jose Reyes,Mets,159,688,763,204,132,37,19,16,113,68,66,8,82,8.7,10.7,0.8,0.317,1,3,5,9,56,15,8.9,0.179,0.359,19.3,0.297,0.358,0.475,0.833,5.9,118,1.39
Alex Rodriguez,Yankees,138,510,594,154,86,33,0,35,104,103,65,9,117,10.9,19.7,0.56,0.32799999999999996,14,5,0,16,18,3,-2.3,0.271,0.409,39.7,0.302,0.392,0.573,0.965,5.8,152,0.65
Joe Mauer,Twins,146,536,633,176,132,31,4,9,98,85,84,8,50,13.3,7.9,1.68,0.342,1,11,1,21,1,1,6.9,0.12300000000000001,0.379,26.5,0.32799999999999996,0.413,0.451,0.8640000000000001,5.7,133,4.81
Evan Longoria,Rays,122,448,508,122,62,31,2,27,67,85,46,4,122,9.1,24.0,0.38,0.309,6,8,0,8,7,0,17.9,0.259,0.37,17.6,0.272,0.34299999999999997,0.531,0.8740000000000001,5.6,128,0.97
Alex Rios,Blue Jays,155,635,687,185,115,47,8,15,91,79,44,2,112,6.4,16.3,0.39,0.331,2,5,0,20,32,8,18.2,0.17,0.34600000000000003,9.9,0.29100000000000004,0.337,0.461,0.7979999999999999,5.5,110,-0.11
Ryan Ludwick,Cardinals,152,538,617,161,81,40,3,37,104,113,62,3,146,10.0,23.7,0.42,0.342,8,8,1,8,4,4,-8.3,0.292,0.408,40.8,0.299,0.375,0.591,0.966,5.4,151,2.56
Randy Winn,Giants,155,598,667,183,133,38,2,10,84,64,59,6,88,8.8,13.2,0.67,0.34,0,9,1,6,25,2,14.7,0.12,0.345,9.4,0.306,0.363,0.426,0.79,5.2,107,1.68
Brian McCann,Braves,145,509,573,153,87,42,1,23,68,87,57,4,64,9.9,11.2,0.89,0.306,4,3,0,17,5,0,12.6,0.222,0.386,27.2,0.301,0.373,0.523,0.8959999999999999,5.1,135,0.84
Jimmy Rollins,Phillies,137,556,625,154,96,38,9,11,76,59,58,7,55,9.3,8.8,1.05,0.29,5,3,3,11,47,3,18.8,0.16,0.342,7.0,0.27699999999999997,0.349,0.43700000000000006,0.7859999999999999,5.0,104,0.56
Russell Martin,Dodgers,155,553,650,155,117,25,0,13,87,69,90,8,83,13.8,12.8,1.08,0.309,5,2,0,16,18,6,16.6,0.11599999999999999,0.35,11.4,0.28,0.385,0.396,0.7809999999999999,4.9,112,2.84
Troy Glaus,Cardinals,151,544,637,147,86,33,1,27,69,99,87,3,104,13.7,16.3,0.84,0.28800000000000003,3,3,0,14,0,1,8.7,0.213,0.373,23.6,0.27,0.37200000000000005,0.483,0.856,4.8,128,2.58
Ian Kinsler,Rangers,121,518,583,165,102,41,4,18,102,71,45,1,67,7.7,11.5,0.67,0.33399999999999996,6,7,7,12,26,2,-3.0,0.19899999999999998,0.385,27.3,0.319,0.375,0.517,0.892,4.8,133,1.94
Melvin Upton Jr.,Rays,145,531,640,145,97,37,2,9,85,67,97,4,134,15.2,20.9,0.72,0.344,2,7,3,13,44,16,9.8,0.128,0.35100000000000003,12.1,0.273,0.38299999999999995,0.401,0.784,4.8,116,1.0
Brian Roberts,Orioles,155,611,704,181,113,51,8,9,107,57,82,3,104,11.6,14.8,0.79,0.341,2,6,3,8,40,10,1.2,0.154,0.364,20.5,0.29600000000000004,0.37799999999999995,0.45,0.828,4.7,119,2.13
Carlos Quentin,White Sox,130,480,569,138,75,26,1,36,96,100,66,0,80,11.6,14.1,0.83,0.278,20,3,0,16,7,3,-9.0,0.28300000000000003,0.415,40.6,0.28800000000000003,0.39399999999999996,0.5710000000000001,0.965,4.7,152,3.86
Ryan Braun,Brewers,151,611,663,174,91,39,7,37,92,106,42,4,129,6.3,19.5,0.33,0.305,6,4,0,13,14,4,-3.9,0.268,0.376,26.3,0.285,0.335,0.5529999999999999,0.888,4.6,129,3.59
Aramis Ramirez,Cubs,149,554,645,160,88,44,1,27,97,111,74,7,94,11.5,14.6,0.79,0.303,11,6,0,13,2,2,-0.5,0.22899999999999998,0.386,30.6,0.289,0.38,0.518,0.898,4.5,129,3.07
Shane Victorino,Phillies,146,570,627,167,115,30,8,14,102,58,45,2,69,7.2,11.0,0.65,0.314,7,0,5,8,36,11,7.1,0.154,0.35100000000000003,11.6,0.293,0.35200000000000004,0.447,0.799,4.3,109,0.01
Josh Hamilton,Rangers,156,624,704,190,118,35,5,32,98,130,64,9,126,9.1,17.9,0.51,0.33299999999999996,7,9,0,8,9,1,-16.1,0.226,0.384,32.2,0.304,0.371,0.53,0.9009999999999999,4.2,132,3.6
Milton Bradley,Rangers,126,414,510,133,78,32,1,22,78,77,80,13,112,15.7,22.0,0.71,0.38799999999999996,9,6,0,10,5,3,-8.6,0.242,0.424,40.4,0.321,0.436,0.563,0.9990000000000001,4.2,159,2.7
Ichiro Suzuki,Mariners,162,686,749,213,180,20,7,6,103,42,51,12,65,6.8,8.7,0.78,0.33399999999999996,5,4,3,8,43,4,4.9,0.076,0.32799999999999996,0.1,0.31,0.361,0.386,0.747,4.2,102,1.1
Dan Uggla,Marlins,146,531,619,138,68,37,1,32,97,92,77,6,171,12.4,27.6,0.45,0.32,8,3,0,10,5,5,3.1,0.254,0.375,24.0,0.26,0.36,0.514,0.8740000000000001,4.2,126,2.69
Mark DeRosa,Cubs,149,505,593,144,90,30,3,21,103,87,69,0,106,11.6,17.9,0.65,0.319,9,8,2,9,6,0,2.5,0.196,0.374,22.5,0.285,0.376,0.48100000000000004,0.857,4.2,121,1.66
Jacoby Ellsbury,Red Sox,145,554,609,155,117,22,7,9,98,47,41,2,80,6.7,13.1,0.51,0.312,7,3,4,10,50,11,18.8,0.114,0.32299999999999995,-2.8,0.28,0.336,0.39399999999999996,0.7290000000000001,4.2,91,-0.36
