"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Josh Hamilton","Rangers","571","7.5 %","16.6 %","0.45",".359",".411",".633","1.044",".274","4.7",".390","3.3","0.9","0.7","122","56.8",".445","175","1875"
"Joey Votto","Reds","648","14.0 %","19.3 %","0.73",".324",".424",".600","1.024",".276","4.5",".361","-0.7","1.2","0.6","135","60.5",".438","172","4314"
"Miguel Cabrera","Tigers","648","13.7 %","14.7 %","0.94",".328",".420",".622","1.042",".294","2.8",".336","-0.3","-0.5","-1.1","132","57.1",".431","171","1744"
"Jose Bautista","Blue Jays","683","14.6 %","17.0 %","0.86",".260",".378",".617",".995",".357","4.4",".233","-1.6","0.2","0.5","134","55.1",".422","165","1887"
"Albert Pujols","Cardinals","700","14.7 %","10.9 %","1.36",".312",".414",".596","1.011",".284","3.9",".297","2.0","-1.8","0.7","135","54.6",".419","164","1177"
"Paul Konerko","White Sox","631","11.4 %","17.4 %","0.65",".312",".393",".584",".977",".272","1.7",".326","-4.8","0.5","-0.9","121","48.4",".417","158","242"
"Carlos Gonzalez","Rockies","636","6.3 %","21.2 %","0.30",".336",".376",".598",".974",".262","7.2",".384","4.2","1.1","1.5","120","46.8",".413","144","7287"
"Troy Tulowitzki","Rockies","529","9.1 %","14.7 %","0.62",".315",".381",".568",".949",".253","5.6",".327","0.7","-1.9","1.0","97","36.1",".406","140","3531"
"Matt Holliday","Cardinals","675","10.2 %","13.8 %","0.74",".312",".390",".532",".922",".220","3.3",".331","-0.9","0.6","-0.8","119","41.2",".397","149","1873"
"Jayson Werth","Phillies","652","12.6 %","22.5 %","0.56",".296",".388",".532",".921",".236","4.9",".352","3.6","1.6","0.9","114","39.0",".396","146","1327"
"Robinson Cano","Yankees","696","8.2 %","11.1 %","0.74",".319",".381",".534",".914",".214","3.2",".326","2.9","-1.3","-0.8","119","39.0",".391","143","3269"
"Adrian Beltre","Red Sox","641","6.2 %","12.8 %","0.49",".321",".365",".553",".919",".233","2.9",".331","0.9","-3.9","-0.4","109","35.8",".391","140","639"
"Ryan Zimmerman","Nationals","603","11.4 %","16.3 %","0.70",".307",".388",".510",".899",".204","2.7",".334","0.0","-0.7","-0.1","102","33.1",".390","142","4220"
"Luke Scott","Orioles","517","11.4 %","19.0 %","0.60",".284",".368",".535",".902",".251","2.9",".304","-3.9","0.2","0.0","87","27.3",".387","140","3469"
"Aubrey Huff","Giants","668","12.4 %","13.6 %","0.91",".290",".385",".506",".891",".216","5.2",".303","1.1","-0.8","0.8","112","35.0",".387","144","1213"
"Shin-Soo Choo","Indians","646","12.8 %","18.3 %","0.70",".300",".401",".484",".885",".184","4.6",".347","0.6","0.3","1.0","108","33.6",".386","145","3174"
"David Ortiz","Red Sox","606","13.5 %","23.9 %","0.57",".270",".370",".529",".899",".259","1.9",".313","-6.1","0.7","-0.8","99","29.7",".382","134","745"
"Dan Uggla","Marlins","674","11.6 %","22.1 %","0.52",".287",".369",".508",".877",".221","2.8",".330","-0.6","0.8","-0.2","110","32.7",".382","135","3442"
"Prince Fielder","Brewers","714","16.0 %","19.3 %","0.83",".261",".401",".471",".871",".209","1.7",".291","-6.8","0.6","-0.4","116","34.3",".381","136","4613"
"Adam Dunn","Nationals","648","11.9 %","30.7 %","0.39",".260",".356",".536",".892",".276","2.3",".329","-5.0","1.5","-0.8","105","31.0",".381","136","319"
"Adrian Gonzalez","Padres","693","13.4 %","16.5 %","0.82",".298",".393",".511",".904",".213","1.0",".322","-1.7","0.3","-0.5","112","32.4",".379","142","1908"
"Nick Swisher","Yankees","635","9.1 %","21.9 %","0.42",".288",".359",".511",".870",".223","2.9",".335","-1.4","1.3","-1.1","102","29.5",".379","134","4599"
"Kelly Johnson","Diamondbacks","671","11.8 %","22.1 %","0.53",".284",".370",".496",".865",".212","4.9",".339","-1.2","0.2","-0.8","108","30.8",".378","129","2234"
"Ryan Braun","Brewers","685","8.2 %","15.3 %","0.53",".304",".365",".501",".866",".197","4.4",".331","3.6","-0.2","1.0","110","31.3",".378","134","3410"
"Jason Heyward","Braves","623","14.6 %","20.5 %","0.71",".277",".393",".456",".849",".179","5.0",".335","2.7","-0.1","-0.8","100","28.0",".377","134","4940"
"Joe Mauer","Twins","584","11.1 %","9.1 %","1.23",".327",".402",".469",".871",".141","2.4",".348","3.2","-0.9","-1.9","93","26.1",".377","135","1857"
"Evan Longoria","Rays","661","10.9 %","18.8 %","0.58",".294",".372",".507",".879",".213","5.5",".336","4.8","-0.8","0.5","105","28.8",".376","139","9368"
"Billy Butler","Royals","678","10.2 %","11.5 %","0.88",".318",".388",".469",".857",".151","1.1",".341","-6.9","-5.1","-0.6","106","28.4",".373","133","7399"
"Corey Hart","Brewers","614","7.3 %","22.8 %","0.32",".283",".340",".525",".865",".242","4.4",".324","3.4","0.2","-1.4","96","25.4",".373","130","1945"
"Chase Utley","Phillies","511","12.3 %","12.3 %","1.00",".275",".387",".445",".832",".169","5.2",".288","2.2","2.3","1.3","79","19.8",".370","128","1679"
"Mark Teixeira","Yankees","712","13.1 %","17.1 %","0.76",".256",".365",".481",".846",".225","2.0",".268","-0.6","0.4","-1.0","109","27.5",".369","128","1281"
"Scott Rolen","Reds","537","9.3 %","15.3 %","0.61",".285",".358",".497",".854",".212","2.9",".302","-0.5","0.6","-1.0","82","20.7",".369","126","970"
"Hanley Ramirez","Marlins","619","10.3 %","15.0 %","0.69",".300",".378",".475",".853",".175","5.6",".327","2.7","0.1","1.8","95","23.9",".369","127","8001"
"Colby Rasmus","Cardinals","534","11.8 %","27.7 %","0.43",".276",".361",".498",".859",".222","5.1",".354","6.2","1.7","-1.2","82","20.4",".369","130","9893"
"Carl Crawford","Rays","663","6.9 %","15.7 %","0.44",".307",".356",".495",".851",".188","8.5",".342","4.6","3.8","4.9","101","25.2",".369","134","1201"
"Ryan Howard","Phillies","620","9.5 %","25.3 %","0.38",".276",".353",".505",".859",".229","3.7",".332","-6.3","-0.2","-0.7","95","23.4",".368","127","2154"
"Andre Ethier","Dodgers","585","10.1 %","17.4 %","0.58",".292",".364",".493",".857",".201","2.5",".322","1.2","0.8","-0.4","89","21.9",".368","132","6265"
"Rickie Weeks Jr.","Brewers","754","10.1 %","24.4 %","0.41",".269",".366",".464",".830",".195","5.1",".332","4.3","2.1","-0.1","115","28.1",".368","127","1849"
"David Wright","Mets","670","10.3 %","24.0 %","0.43",".283",".354",".503",".856",".220","4.6",".335","-0.9","0.4","-1.1","101","24.1",".366","129","3787"
"Jay Bruce","Reds","573","10.1 %","23.7 %","0.43",".281",".353",".493",".846",".212","4.5",".334","2.7","0.5","-1.1","86","20.3",".365","124","9892"
"Alex Rodriguez","Yankees","595","9.9 %","16.5 %","0.60",".270",".341",".506",".847",".236","3.0",".274","-0.1","1.2","-0.8","89","20.8",".365","125","1274"
"Victor Martinez","Red Sox","538","7.4 %","9.7 %","0.77",".302",".351",".493",".844",".191","2.3",".303","-2.4","0.0","-0.2","80","18.6",".364","122","393"
"Vladimir Guerrero","Rangers","643","5.4 %","9.3 %","0.58",".300",".345",".496",".841",".196","2.5",".292","-8.8","-1.9","-1.7","96","21.9",".364","119","778"
"Vernon Wells","Blue Jays","646","7.7 %","13.0 %","0.60",".273",".331",".515",".847",".242","3.7",".272","0.4","-1.0","-0.8","96","21.9",".363","126","1326"
"Brian McCann","Braves","566","13.1 %","17.3 %","0.76",".269",".375",".453",".828",".184","2.4",".297","-6.8","0.7","-0.3","83","18.4",".362","123","4810"
"Daric Barton","Athletics","686","16.0 %","14.9 %","1.08",".273",".393",".405",".798",".131","4.3",".316","1.2","1.6","-0.5","100","21.2",".360","126","5928"
"Andrew McCutchen","Pirates","653","10.7 %","13.6 %","0.79",".286",".365",".449",".814",".163","6.5",".311","2.6","1.2","2.0","95","19.6",".359","124","9847"
