"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","playerid"
"Jose Bautista","Blue Jays","8.23","-8.75","16.98","67.67","6.91","1.05","","0","7.04","0.78","1887"
"Prince Fielder","Brewers","7.63","-10.13","17.76","61.19","6.58","1.00","","0","6.15","1.50","4613"
"Miguel Cabrera","Tigers","7.52","-9.94","17.46","69.69","7.08","1.01","3.15","2","6.09","1.38","1744"
"Joey Votto","Reds","7.02","-10.99","18.00","62.92","6.67","1.06","1.60","2","4.99","1.64","4314"
"Matt Kemp","Dodgers","6.42","-11.12","17.54","67.16","7.48","1.05","0.04","1","6.61","-0.48","5631"
"Ryan Braun","Brewers","6.33","-9.07","15.40","63.96","6.89","0.94","2.58","3","6.53","0.17","3410"
"Jacoby Ellsbury","Red Sox","6.25","-11.16","17.41","59.02","5.86","0.97","2.10","3","4.55","1.86","4727"
"Lance Berkman","Cardinals","5.75","-8.69","14.44","53.58","5.91","1.04","1.41","3","5.05","0.46","548"
"Josh Hamilton","Rangers","4.95","-6.42","11.37","29.38","2.98","0.85","","0","3.63","2.20","1875"
"Albert Pujols","Cardinals","4.78","-10.57","15.35","33.16","3.64","1.01","2.72","2","4.39","0.37","1177"
"Ryan Howard","Phillies","4.63","-10.30","14.93","35.86","3.81","1.03","1.51","4","3.15","1.32","2154"
"Adrian Gonzalez","Red Sox","3.82","-10.75","14.58","50.98","5.08","0.95","","0","4.49","-0.44","1908"
"Aramis Ramirez","Cubs","3.76","-10.86","14.62","28.95","3.01","1.08","3.96","3","2.60","0.89","1002"
"Evan Longoria","Rays","3.72","-9.30","13.02","33.27","3.58","0.98","3.39","2","3.78","0.00","9368"
"Michael Morse","Nationals","3.59","-10.33","13.92","36.17","3.88","1.12","1.54","12","2.88","0.32","3035"
"Carlos Beltran","- - -","3.57","-9.51","13.08","40.02","4.37","1.03","2.41","5","4.37","-0.89","589"
"Alex Gordon","Royals","3.55","-11.59","15.14","36.28","3.72","1.03","3.87","1","3.66","-0.21","5209"
"Hunter Pence","- - -","3.33","-11.05","14.38","37.44","4.07","1.03","3.89","2","3.32","-0.08","8252"
"Bobby Abreu","Angels","3.30","-8.95","12.25","13.31","1.47","1.01","1.92","7","0.65","2.61","945"
"Victor Martinez","Tigers","3.27","-10.08","13.36","44.22","4.48","1.02","0.26","1","2.47","0.75","393"
"Curtis Granderson","Yankees","3.20","-11.59","14.79","41.21","4.11","0.99","1.09","4","4.05","-0.81","4747"
"Robinson Cano","Yankees","3.19","-10.89","14.08","42.09","4.35","0.97","2.38","2","2.88","0.40","3269"
"Matt Holliday","Cardinals","3.09","-8.57","11.66","27.88","3.08","1.02","1.10","5","3.25","-0.22","1873"
"Shane Victorino","Phillies","3.06","-8.92","11.97","26.15","2.80","0.96","2.37","3","3.15","0.04","1677"
"Michael Young","Rangers","2.97","-9.81","12.79","31.74","3.09","0.89","","0","2.51","0.83","1286"
"Carlos Pena","Cubs","2.90","-10.48","13.38","20.93","2.30","1.10","1.37","6","2.11","0.52","934"
"Ryan Roberts","Diamondbacks","2.84","-9.52","12.36","17.76","1.91","1.00","0.89","15","1.72","1.11","5653"
"Alex Avila","Tigers","2.76","-8.25","11.01","28.14","2.79","0.97","1.64","4","3.08","-0.24","7476"
"Justin Upton","Diamondbacks","2.75","-10.98","13.74","34.04","3.49","0.96","2.43","2","4.01","-1.15","5222"
"Andrew McCutchen","Pirates","2.73","-10.51","13.25","33.61","3.70","0.98","0.95","2","2.61","0.18","9847"
"Chipper Jones","Braves","2.66","-7.93","10.59","29.61","3.29","1.02","2.30","11","2.54","0.07","97"
"Chris Young","Diamondbacks","2.61","-11.33","13.94","14.02","1.47","1.00","3.73","1","0.67","1.93","3882"
"Yadier Molina","Cardinals","2.59","-8.36","10.95","16.32","1.87","1.01","2.07","2","1.64","0.92","7007"
"Troy Tulowitzki","Rockies","2.42","-11.79","14.20","25.26","2.67","1.13","2.16","3","2.65","-0.51","3531"
"Dustin Pedroia","Red Sox","2.29","-11.52","13.81","29.29","2.95","0.97","1.80","1","2.86","-0.49","8370"
"Yunel Escobar","Blue Jays","2.24","-8.79","11.03","17.93","1.78","0.93","3.29","2","1.25","1.15","4191"
"Johnny Damon","Rays","2.23","-9.96","12.19","15.63","1.66","0.96","1.07","6","1.03","1.29","185"
"Jose Reyes","Mets","2.16","-9.29","11.46","30.45","3.40","1.04","4.02","2","3.20","-1.11","1736"
"Paul Konerko","White Sox","2.16","-10.69","12.85","25.90","2.60","1.04","2.65","2","3.13","-1.06","242"
"Carlos Gonzalez","Rockies","2.10","-9.64","11.75","31.85","2.90","1.08","1.52","2","2.38","-0.44","7287"
"Matt Joyce","Rays","2.06","-8.27","10.34","18.16","1.98","0.98","2.18","16","1.89","0.21","3353"
"Giancarlo Stanton","Marlins","2.04","-11.29","13.32","22.30","2.37","1.08","3.12","9","3.79","-1.90","4949"
"Josh Willingham","Athletics","1.98","-10.15","12.14","22.60","2.40","1.07","2.21","6","0.89","0.96","2103"
"David Ortiz","Red Sox","1.87","-10.71","12.58","31.90","3.11","1.02","1.79","8","3.45","-1.61","745"
"Brandon Phillips","Reds","1.81","-12.13","13.94","23.86","2.53","1.08","1.91","1","2.27","-0.60","791"
"Ian Kinsler","Rangers","1.76","-11.07","12.83","18.65","1.86","0.90","1.34","1","2.54","-0.58","6195"
"Eric Hosmer","Royals","1.76","-10.51","12.27","5.95","0.53","1.12","2.22","1","0.50","1.07","3516"
"Freddie Freeman","Braves","1.69","-11.46","13.15","19.26","2.11","1.07","2.07","1","2.44","-0.86","5361"
"Dexter Fowler","Rockies","1.65","-9.36","11.01","15.05","1.39","1.01","1.16","5","0.44","1.19","4062"
"Asdrubal Cabrera","Indians","1.64","-11.65","13.30","22.00","2.46","1.01","","0","0.63","1.00","4962"
"Neil Walker","Pirates","1.60","-11.40","13.00","15.84","1.85","1.03","0.83","2","1.28","0.27","7539"
"Adrian Beltre","Rangers","1.58","-8.73","10.31","23.65","2.18","0.96","0.19","1","2.67","-1.02","639"
"Rickie Weeks Jr.","Brewers","1.56","-7.71","9.27","11.89","1.25","0.90","2.15","1","1.96","-0.22","1849"
"Mark Teixeira","Yankees","1.54","-10.56","12.10","35.84","3.65","0.92","1.86","1","3.30","-1.63","1281"
"Melky Cabrera","Royals","1.53","-12.85","14.37","17.51","1.78","1.07","1.64","1","1.67","-0.25","4022"
"Kevin Youkilis","Red Sox","1.52","-8.55","10.07","23.58","2.33","1.04","","0","1.42","0.04","1935"
"Jay Bruce","Reds","1.34","-13.21","14.55","12.76","1.36","1.16","1.73","4","0.66","0.49","9892"
"Ben Zobrist","Rays","1.32","-11.12","12.43","31.26","3.31","0.94","1.91","1","1.92","-0.52","7435"
"Michael Bourn","- - -","1.28","-12.46","13.74","15.55","1.66","1.04","0.52","2","1.17","0.05","6387"
"Casey Kotchman","Rays","1.24","-8.54","9.79","9.79","1.11","0.92","2.17","1","2.21","-0.85","1930"
"Danny Espinosa","Nationals","1.17","-11.90","13.07","12.87","1.36","1.10","0.50","1","-0.16","1.22","9219"
"Alfonso Soriano","Cubs","1.12","-9.93","11.05","6.33","0.74","1.09","2.22","7","-0.07","1.10","847"
"Miguel Montero","Diamondbacks","1.12","-9.34","10.46","22.87","2.30","0.99","1.05","9","1.84","-0.72","3364"
"Cameron Maybin","Padres","1.07","-9.46","10.53","10.61","1.09","1.00","1.86","2","1.43","-0.36","5223"
"Kelly Johnson","- - -","1.06","-10.84","11.90","2.61","0.27","1.04","1.30","8","-0.38","1.40","2234"
"Melvin Upton Jr.","Rays","1.06","-11.19","12.25","4.26","0.34","0.98","1.63","3","1.40","-0.31","5015"
"James Loney","Dodgers","1.04","-9.40","10.45","9.16","0.99","0.98","1.32","13","0.99","0.08","4556"
"Torii Hunter","Angels","0.97","-11.95","12.92","4.50","0.58","1.01","","0","1.25","-0.29","731"
"Seth Smith","Rockies","0.92","-9.54","10.46","9.62","0.93","1.04","1.31","25","1.36","-0.47","7331"
"Andre Ethier","Dodgers","0.85","-9.34","10.19","13.52","1.61","1.05","1.95","8","1.71","-0.91","6265"
"Coco Crisp","Athletics","0.85","-10.21","11.06","-1.83","-0.14","1.04","3.26","2","-0.26","1.08","1572"
"Derek Jeter","Yankees","0.75","-9.46","10.22","11.82","1.14","0.96","","0","0.69","0.10","826"
"Brian McCann","Braves","0.74","-9.72","10.46","12.30","1.38","1.06","2.16","6","1.37","-0.67","4810"
"Angel Pagan","Mets","0.74","-9.65","10.39","9.60","0.99","1.08","1.24","3","-0.16","0.84","2918"
"Billy Butler","Royals","0.71","-12.27","12.98","23.29","2.30","1.06","1.13","6","1.16","-0.49","7399"
"Adam Jones","Orioles","0.71","-11.48","12.18","8.31","0.87","1.04","","0","1.34","-0.66","6368"
"Logan Morrison","Marlins","0.61","-9.57","10.18","11.31","1.20","1.10","1.32","3","1.45","-0.89","9205"
"Mark Trumbo","Angels","0.55","-10.36","10.91","6.38","0.71","0.94","0.10","1","0.35","0.23","6876"
"Carlos Lee","Astros","0.52","-12.30","12.82","21.01","2.35","1.12","2.07","1","2.09","-1.62","243"
"Carlos Santana","Indians","0.48","-12.05","12.53","9.41","0.90","1.09","2.80","3","2.39","-1.95","2396"
"Corey Hart","Brewers","0.48","-8.93","9.41","16.86","1.83","0.92","1.21","7","1.71","-1.19","1945"
"Darwin Barney","Cubs","0.44","-9.88","10.32","-6.05","-0.65","1.04","0.49","8","-0.90","1.32","2430"
"Dan Uggla","Braves","0.44","-12.00","12.44","6.34","0.75","1.04","3.64","1","-0.24","0.67","3442"
"Nelson Cruz","Rangers","0.39","-8.17","8.57","13.15","1.22","0.88","0.87","2","0.51","-0.06","2434"
"Jhonny Peralta","Tigers","0.32","-9.83","10.15","5.57","0.54","0.98","2.51","6","1.06","-0.73","1738"
"Mark Reynolds","Orioles","0.27","-11.22","11.49","10.66","1.12","0.99","4.74","1","0.89","-0.62","7619"
"Howie Kendrick","Angels","0.23","-10.76","10.99","11.00","1.23","1.02","1.18","3","1.39","-1.16","4229"
"Alberto Callaspo","Angels","0.19","-8.89","9.08","4.13","0.44","1.01","1.94","13","0.46","-0.27","3336"
"Nick Swisher","Yankees","0.17","-10.18","10.35","11.52","1.20","0.97","1.19","2","1.22","-1.05","4599"
"Adam Lind","Blue Jays","0.16","-10.67","10.84","2.10","0.23","1.13","","0","0.06","0.08","8027"
"John Buck","Marlins","0.14","-9.75","9.88","-10.31","-1.11","1.10","2.01","9","-1.63","1.76","2041"
"J.J. Hardy","Orioles","0.11","-10.51","10.62","3.46","0.38","1.05","","0","-0.09","0.19","3797"
"Juan Rivera","- - -","0.10","-9.64","9.74","1.80","0.32","1.06","2.24","10","-0.33","0.43","843"
"Martin Prado","Braves","0.10","-11.72","11.82","-2.19","-0.18","1.08","0.05","1","-0.23","0.33","3312"
"Elvis Andrus","Rangers","0.09","-10.75","10.84","1.17","0.24","0.92","2.99","6","0.15","-0.05","8709"
"Jason Bay","Mets","0.07","-9.11","9.18","-3.17","-0.36","1.06","","0","0.23","-0.16","1717"
"Nick Markakis","Orioles","0.04","-12.15","12.20","3.13","0.37","0.99","","0","0.45","-0.41","5930"
"Omar Infante","Marlins","0.03","-11.89","11.92","-7.54","-0.78","1.12","0.61","2","-0.12","0.15","1609"
"Michael Cuddyer","Twins","0.03","-10.50","10.53","6.72","0.70","1.01","","0","0.98","-0.95","1534"
"Emilio Bonifacio","Marlins","-0.01","-11.07","11.07","9.15","0.90","1.05","0.98","10","1.27","-1.28","4054"
"Mitch Moreland","Rangers","-0.04","-8.26","8.22","-3.56","-0.39","0.94","1.83","6","-0.25","0.21","3086"
"Matt Wieters","Orioles","-0.07","-10.49","10.42","8.05","0.79","1.03","1.61","5","0.40","-0.47","4298"
"Starlin Castro","Cubs","-0.12","-13.01","12.89","11.50","1.13","1.01","","0","0.57","-0.69","4579"
"Cliff Pennington","Athletics","-0.14","-9.09","8.95","5.37","0.51","0.94","","0","-0.58","0.43","3395"
"Hideki Matsui","Athletics","-0.21","-9.67","9.46","7.17","0.77","0.99","2.81","6","-0.25","0.04","1659"
"Jamey Carroll","Dodgers","-0.23","-7.76","7.53","-0.37","-0.17","0.98","1.84","13","-0.07","-0.16","1591"
"Austin Jackson","Tigers","-0.28","-10.48","10.20","-7.79","-0.94","0.92","1.08","2","-1.05","0.75","9848"
"Erick Aybar","Angels","-0.34","-10.79","10.45","5.38","0.53","0.99","","0","0.57","-0.91","4082"
