"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Clayton Kershaw","Dodgers","14","9","2.53","33","33","2","2","0","0","0","227.2","901","170","70","64","16","63","5","5","6","2","229","2036"
"David Price","Rays","20","5","2.56","31","31","2","1","0","0","0","211.0","836","173","63","60","16","59","2","5","8","1","205","3184"
"Justin Verlander","Tigers","17","8","2.64","33","33","6","1","0","0","0","238.1","956","192","81","70","19","60","2","5","2","1","239","8700"
"R.A. Dickey","Mets","20","6","2.73","34","33","5","3","0","0","0","233.2","927","192","78","71","24","54","2","9","4","1","230","1245"
"Johnny Cueto","Reds","19","9","2.78","33","33","2","0","0","0","0","217.0","888","205","73","67","15","49","5","12","1","3","170","6893"
"Matt Cain","Giants","16","5","2.79","32","32","2","2","0","0","0","219.1","876","177","73","68","21","51","1","9","8","0","193","4732"
"Jered Weaver","Angels","20","5","2.81","30","30","3","2","0","0","0","188.2","739","147","63","59","20","45","0","4","2","0","142","4235"
"Kyle Lohse","Cardinals","16","3","2.86","33","33","0","0","0","0","0","211.0","864","192","74","67","19","38","1","4","1","0","143","739"
"Gio Gonzalez","Nationals","21","8","2.89","32","32","2","1","0","0","0","199.1","822","149","69","64","9","76","3","5","10","1","207","7448"
"Jordan Zimmermann","Nationals","12","8","2.94","32","32","0","0","0","0","0","195.2","805","186","69","64","18","43","2","8","3","0","153","4505"
"Chris Sale","White Sox","17","8","3.05","30","29","1","0","0","0","1","192.0","772","167","66","65","19","51","5","6","6","0","192","10603"
"Cole Hamels","Phillies","17","6","3.05","31","31","2","2","0","0","0","215.1","867","190","80","73","24","52","3","3","3","2","216","4972"
"Felix Hernandez","Mariners","13","9","3.06","33","33","5","5","0","0","0","232.0","939","209","84","79","14","56","0","12","13","2","223","4772"
"Jeremy Hellickson","Rays","10","11","3.10","31","31","0","0","0","0","0","177.0","741","163","68","61","25","59","3","4","5","0","124","4371"
"Cliff Lee","Phillies","6","9","3.16","30","30","0","0","0","0","0","211.0","847","207","79","74","26","28","0","0","4","0","207","1636"
"Matt Harrison","Rangers","18","11","3.29","32","32","4","2","0","0","0","213.1","876","210","82","78","22","59","0","1","2","0","133","5551"
"Hiroki Kuroda","Yankees","16","11","3.32","33","33","3","2","0","0","0","219.2","891","205","86","81","25","51","2","8","13","0","167","3283"
"Wade Miley","Diamondbacks","16","11","3.33","32","29","0","0","0","0","0","194.2","807","193","79","72","14","37","0","2","6","1","144","8779"
"Ryan Vogelsong","Giants","14","9","3.37","31","31","0","0","0","0","0","189.2","788","171","76","71","17","62","7","8","3","0","158","1011"
"Madison Bumgarner","Giants","16","11","3.37","32","32","2","1","0","0","0","208.1","849","183","87","78","23","49","6","7","3","2","191","5524"
"Jake Peavy","White Sox","11","12","3.37","32","32","4","1","0","0","0","219.0","882","191","88","82","27","49","1","10","3","2","194","1051"
"CC Sabathia","Yankees","15","6","3.38","28","28","2","0","0","0","0","200.0","833","184","89","75","22","44","2","8","4","1","197","404"
"Ryan Dempster","- - -","12","8","3.38","28","28","0","0","0","0","0","173.0","717","155","71","65","19","52","0","2","2","1","153","517"
"Ross Detwiler","Nationals","10","8","3.40","33","27","0","0","0","1","0","164.1","686","149","75","62","15","52","0","5","4","1","105","2859"
"Jon Niese","Mets","13","9","3.40","30","30","0","0","0","0","0","190.1","788","174","77","72","22","49","2","4","6","0","155","4424"
"Jarrod Parker","Athletics","13","8","3.47","29","29","0","0","0","0","0","181.1","751","166","71","70","11","63","3","3","10","0","140","4913"
"Zack Greinke","- - -","15","5","3.48","34","34","0","0","0","0","0","212.1","868","200","84","82","18","54","0","2","8","0","200","1943"
"Mat Latos","Reds","14","4","3.48","33","33","2","0","0","0","0","209.1","858","179","87","81","25","64","9","4","3","1","185","3815"
"A.J. Burnett","Pirates","16","10","3.51","31","31","1","1","0","0","0","202.1","851","189","86","79","18","62","1","9","10","0","180","512"
"James Shields","Rays","15","10","3.52","33","33","3","2","0","0","0","227.2","944","208","103","89","25","58","2","11","7","1","223","7059"
"Scott Diamond","Twins","12","9","3.54","27","27","1","1","0","0","0","173.0","714","184","76","68","17","31","2","4","10","0","90","5089"
"Aaron Harang","Dodgers","10","10","3.61","31","31","0","0","0","0","0","179.2","786","167","85","72","14","85","10","4","4","0","131","1451"
"Tim Hudson","Braves","16","7","3.62","28","28","1","1","0","0","0","179.0","749","168","77","72","12","48","2","9","3","0","102","921"
"Yovani Gallardo","Brewers","16","9","3.66","33","33","0","0","0","0","0","204.0","860","185","86","83","26","81","3","0","5","0","204","8173"
"Paul Maholm","- - -","13","11","3.67","32","31","1","1","0","0","0","189.0","786","178","80","77","20","53","3","11","5","0","140","8678"
"Homer Bailey","Reds","13","10","3.68","33","33","2","1","0","0","0","208.0","874","206","97","85","26","52","3","8","3","0","168","8362"
"Chris Capuano","Dodgers","12","12","3.72","33","33","0","0","0","0","0","198.1","817","188","91","82","25","54","4","2","6","0","162","1701"
"Mark Buehrle","Marlins","13","13","3.74","31","31","1","0","0","0","0","202.1","828","197","88","84","26","40","3","4","2","0","125","225"
"Max Scherzer","Tigers","16","7","3.74","32","32","0","0","0","0","0","187.2","787","179","82","78","23","60","2","5","2","1","231","3137"
"Tommy Milone","Athletics","13","10","3.74","31","31","1","0","0","0","0","190.0","791","207","90","79","24","36","2","4","2","0","137","7608"
