"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Justin Verlander","Tigers","4.15","-14.41","18.57","38.58","3.90","1.04","","0.88","1.17","27","4.59","-0.59","0","0","8700"
"Felix Hernandez","Mariners","4.01","-15.62","19.62","22.31","2.48","1.13","","0.88","1.03","28","2.84","0.71","0","0","4772"
"Clayton Kershaw","Dodgers","3.54","-13.36","16.90","36.91","4.12","1.02","","0.87","1.09","31","3.82","-0.36","0","0","2036"
"David Price","Rays","3.42","-12.12","15.54","37.04","4.00","0.98","","0.87","1.19","29","3.36","0.14","0","0","3184"
"Chris Sale","White Sox","3.28","-12.49","15.77","33.86","3.42","1.04","3.22","0.95","0.98","29","2.76","0.38","0","1","10603"
"Jered Weaver","Angels","3.24","-9.99","13.23","24.73","2.73","0.94","","0.88","0.89","27","2.93","0.52","0","0","4235"
"Kyle Lohse","Cardinals","3.12","-13.22","16.34","25.34","2.74","1.03","","0.86","1.61","33","1.70","1.32","0","0","739"
"Johnny Cueto","Reds","3.01","-13.19","16.20","32.27","3.38","0.98","","0.87","1.20","31","2.95","0.12","0","0","6893"
"Matt Harrison","Rangers","2.78","-12.07","14.84","27.94","2.93","0.89","","0.86","1.35","28","1.92","1.19","0","0","5551"
"Gio Gonzalez","Nationals","2.65","-11.07","13.72","26.50","2.89","0.96","","0.87","0.80","30","3.19","-0.43","0","0","7448"
"Zack Greinke","- - -","2.48","-13.79","16.27","17.80","1.88","1.03","","0.87","1.19","34","2.40","0.01","0","0","1943"
"Cole Hamels","Phillies","2.46","-14.08","16.53","22.82","2.33","1.01","","0.85","1.05","29","2.27","0.15","0","0","4972"
"Mat Latos","Reds","2.19","-14.87","17.06","15.20","1.55","1.12","","0.88","1.37","31","2.36","-0.40","0","0","3815"
"R.A. Dickey","Mets","2.06","-14.65","16.72","25.43","2.84","0.96","","0.86","1.07","28","1.79","0.35","0","1","1245"
"Cliff Lee","Phillies","1.83","-14.61","16.44","20.38","2.25","1.02","","0.88","1.18","30","2.04","-0.25","0","0","1636"
"Jarrod Parker","Athletics","1.79","-11.40","13.19","17.83","1.80","0.96","","0.86","1.26","29","1.75","0.12","0","0","4913"
"Yovani Gallardo","Brewers","1.70","-12.92","14.62","12.45","1.26","0.97","","0.87","1.17","33","0.96","0.80","0","0","8173"
"Jordan Zimmermann","Nationals","1.70","-12.92","14.62","24.83","2.56","1.00","","0.87","1.06","32","0.94","0.76","0","0","4505"
"Matt Cain","Giants","1.62","-14.44","16.07","20.17","2.36","1.03","","0.88","1.35","30","1.73","-0.15","0","0","4732"
"Homer Bailey","Reds","1.58","-15.05","16.64","5.97","0.73","1.05","","0.87","1.46","31","-0.26","1.77","0","0","8362"
"Jake Peavy","White Sox","1.57","-14.18","15.75","24.20","2.44","0.94","","0.88","1.16","28","2.07","-0.40","0","0","1051"
"Ryan Vogelsong","Giants","1.40","-12.72","14.12","9.43","1.14","1.03","","0.87","1.09","31","0.87","0.49","0","0","1011"
"Jeff Samardzija","Cubs","1.33","-12.03","13.36","2.80","0.33","1.03","","0.87","1.02","27","1.02","0.27","0","0","3254"
"Jason Vargas","Mariners","1.32","-13.51","14.83","11.43","1.39","0.90","","0.87","1.06","31","0.13","1.34","0","0","8044"
"Ryan Dempster","- - -","1.31","-11.10","12.41","17.54","1.83","0.95","","0.87","0.91","28","0.96","0.42","0","0","517"
"Yu Darvish","Rangers","1.30","-13.05","14.35","4.18","0.31","0.97","","0.87","1.20","29","1.00","0.35","0","0","13074"
"Bronson Arroyo","Reds","1.27","-13.89","15.16","11.23","1.12","1.01","","0.87","1.13","31","0.41","0.85","0","0","978"
"Tim Hudson","Braves","1.26","-11.27","12.54","5.76","0.71","0.98","","0.87","1.21","27","1.72","-0.43","0","0","921"
"CC Sabathia","Yankees","1.26","-13.30","14.56","12.40","1.22","0.97","","0.88","1.02","26","2.17","-0.88","0","0","404"
"Jeremy Hellickson","Rays","1.26","-12.26","13.52","14.39","1.56","1.00","","0.87","1.45","31","-0.23","1.49","0","0","4371"
"Paul Maholm","- - -","1.23","-12.10","13.33","9.82","1.10","0.95","","0.87","1.00","31","0.75","0.54","0","0","8678"
"Trevor Cahill","Diamondbacks","1.20","-12.81","14.02","8.58","0.94","0.91","","0.87","0.92","30","0.67","0.66","0","0","6249"
"Hiroki Kuroda","Yankees","1.19","-14.25","15.44","20.61","2.07","0.92","","0.87","1.00","30","2.37","-1.08","0","0","3283"
"Wade Miley","Diamondbacks","1.10","-13.38","14.48","16.32","1.58","0.99","2.76","0.91","0.95","32","1.14","-0.02","2","1","8779"
"A.J. Burnett","Pirates","1.02","-13.30","14.32","4.20","0.38","0.96","","0.85","1.23","30","0.43","0.63","0","0","512"
"Jon Niese","Mets","0.96","-11.67","12.63","7.59","0.87","0.89","","0.88","0.85","30","1.01","0.08","0","0","4424"
"Madison Bumgarner","Giants","0.85","-14.51","15.36","7.18","0.88","0.98","","0.87","1.00","30","-0.52","1.39","0","0","5524"
"Josh Johnson","Marlins","0.80","-13.31","14.12","9.77","0.95","1.00","","0.86","0.83","31","0.89","-0.09","0","0","4567"
"Ross Detwiler","Nationals","0.79","-11.12","11.90","7.21","0.76","0.97","1.49","0.96","1.05","32","0.96","-0.14","3","1","2859"
"Tommy Milone","Athletics","0.75","-14.24","14.98","1.59","0.38","1.04","","0.87","0.96","30","0.76","-0.04","0","0","7608"
"Mark Buehrle","Marlins","0.72","-14.22","14.94","8.63","0.95","1.02","","0.87","0.92","30","1.00","-0.29","0","0","225"
"Max Scherzer","Tigers","0.70","-12.39","13.09","10.50","1.11","0.91","","0.88","1.09","32","1.03","-0.26","0","0","3137"
"Anibal Sanchez","- - -","0.61","-13.77","14.38","4.96","0.56","0.98","","0.88","0.97","30","0.52","0.10","0","0","3284"
"Lance Lynn","Cardinals","0.50","-12.60","13.09","6.48","0.66","0.98","0.65","0.95","1.01","33","0.57","-0.05","1","3","2520"
"Edwin Jackson","Nationals","0.49","-13.04","13.52","0.66","0.15","0.95","","0.88","1.19","30","0.05","0.47","0","0","1841"
"Lucas Harrell","Astros","0.43","-14.04","14.47","3.63","0.56","1.04","","0.88","1.14","31","1.07","-0.66","0","0","7541"
"Clay Buchholz","Red Sox","0.43","-13.94","14.36","-3.06","-0.29","1.02","","0.87","1.29","27","-0.47","0.89","0","0","3543"
"Gavin Floyd","White Sox","0.22","-12.21","12.43","1.08","0.08","0.97","","0.87","0.86","29","0.10","0.13","0","0","3886"
"C.J. Wilson","Angels","0.20","-14.18","14.39","-3.23","-0.33","0.94","","0.87","0.94","34","-0.56","0.77","0","0","3580"
"James Shields","Rays","0.15","-15.58","15.74","5.51","0.57","0.93","","0.87","1.23","30","1.02","-0.85","0","0","7059"
"Mike Minor","Braves","0.15","-11.87","12.01","4.29","0.56","0.93","","0.87","1.05","30","0.62","-0.46","0","0","10021"
"Joe Saunders","- - -","0.13","-11.86","12.00","-4.58","-0.36","0.91","","0.88","1.14","27","-0.09","0.24","0","0","4366"
"Ian Kennedy","Diamondbacks","0.09","-15.37","15.46","-3.62","-0.35","0.99","","0.88","1.11","32","-0.98","1.07","0","0","6986"
"Chris Capuano","Dodgers","0.06","-14.27","14.33","4.86","0.65","1.00","","0.88","1.13","33","0.17","-0.12","0","0","1701"
"Wei-Yin Chen","Orioles","-0.10","-13.48","13.38","-2.43","-0.26","0.94","","0.88","1.19","32","-0.34","0.23","0","0","13071"
"Scott Diamond","Twins","-0.10","-11.82","11.72","9.33","0.97","0.90","","0.88","0.91","26","0.53","-0.64","0","0","5089"
"Phil Hughes","Yankees","-0.15","-14.45","14.30","-2.54","-0.26","0.96","","0.87","1.06","31","-0.87","0.71","0","0","7450"
"Edinson Volquez","Padres","-0.23","-14.63","14.40","-7.03","-0.66","1.06","","0.88","1.18","31","-0.60","0.39","0","0","3990"
"Derek Holland","Rangers","-0.26","-12.68","12.43","-7.67","-0.72","0.93","2.69","0.92","1.07","28","-0.33","0.06","0","1","4141"
"James McDonald","Pirates","-0.30","-11.73","11.43","-4.06","-0.31","0.89","","0.85","1.04","29","-0.09","-0.24","0","1","5523"
"Aaron Harang","Dodgers","-0.33","-13.88","13.54","-3.00","-0.37","1.04","","0.88","1.21","31","-0.50","0.17","0","0","1451"
"Wandy Rodriguez","- - -","-0.35","-13.92","13.57","-0.67","-0.05","0.91","","0.91","0.96","33","0.33","-0.71","1","0","2586"
"Barry Zito","Giants","-0.36","-12.86","12.50","-4.87","-0.71","0.93","","0.87","1.10","31","-1.36","0.97","0","0","944"
"Jeremy Guthrie","- - -","-0.47","-13.25","12.78","-11.34","-0.87","0.90","0.53","0.87","1.12","33","-0.79","0.27","1","1","2072"
"Jake Westbrook","Cardinals","-0.56","-12.67","12.11","-1.02","-0.18","0.95","","0.87","0.85","27","-0.31","-0.28","0","0","412"
"Clayton Richard","Padres","-0.57","-16.02","15.44","-10.69","-1.18","0.97","","0.87","1.08","32","-0.75","0.15","0","0","3551"
"Dan Haren","Angels","-0.72","-13.07","12.35","-12.13","-1.31","0.95","","0.87","1.26","29","-1.54","0.79","0","0","1757"
"Adam Wainwright","Cardinals","-0.77","-13.74","12.97","-1.96","-0.28","0.92","","0.87","0.79","29","1.34","-2.18","0","0","2233"
"Matt Moore","Rays","-0.89","-13.36","12.47","-3.80","-0.35","0.97","","0.87","1.11","31","-0.17","-0.75","0","0","1890"
"Luis Mendoza","Royals","-1.10","-13.18","12.08","-2.95","-0.32","0.97","0.78","0.86","1.29","30","-0.12","-1.02","1","1","3126"
