"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Miguel Cabrera","Tigers","148","555","652","193","122","26","1","44","103","137","90","19","94","5","2","0","19","3","0",".348","1744"
"Michael Cuddyer","Rockies","130","489","540","162","108","31","3","20","74","84","46","5","100","2","3","0","13","10","3",".331","1534"
"Joe Mauer","Twins","113","445","508","144","98","35","0","11","62","47","61","7","89","0","2","0","7","0","1",".324","1857"
"Mike Trout","Angels","157","589","716","190","115","39","9","27","109","97","110","10","136","9","8","0","8","33","7",".323","10155"
"Chris Johnson","Braves","142","514","547","165","119","34","0","12","54","68","29","5","116","2","2","0","20","0","0",".321","1191"
"Freddie Freeman","Braves","147","551","629","176","124","27","2","23","89","109","66","10","121","7","5","0","11","1","0",".319","5361"
"Yadier Molina","Cardinals","136","505","541","161","105","44","0","12","68","80","30","4","55","3","3","0","14","3","2",".319","7007"
"Jayson Werth","Nationals","129","462","532","147","98","24","0","25","84","82","60","3","101","5","5","0","9","10","1",".318","1327"
"Matt Carpenter","Cardinals","157","626","717","199","126","55","7","11","126","78","72","1","98","9","7","3","4","3","3",".318","8090"
"Andrew McCutchen","Pirates","157","583","674","185","121","38","5","21","97","84","78","12","101","9","4","0","13","27","10",".317","9847"
"Adrian Beltre","Rangers","161","631","690","199","137","32","0","30","88","92","50","12","78","7","2","0","17","1","0",".315","639"
"Allen Craig","Cardinals","134","508","563","160","116","29","2","13","71","97","40","2","100","10","5","0","12","2","0",".315","3433"
"Robinson Cano","Yankees","160","605","681","190","122","41","0","27","81","107","65","16","85","6","5","0","18","7","1",".314","3269"
"Troy Tulowitzki","Rockies","126","446","512","139","87","27","0","25","72","82","57","5","85","4","5","0","9","1","0",".312","3531"
"David Ortiz","Red Sox","137","518","600","160","90","38","2","30","84","103","76","27","88","1","5","0","21","4","0",".309","745"
"Joey Votto","Reds","162","581","726","177","120","30","3","24","101","73","135","19","138","4","6","0","15","6","3",".305","4314"
"Torii Hunter","Tigers","144","606","652","184","125","37","5","17","90","84","26","0","113","7","10","3","11","3","2",".304","731"
"Daniel Nava","Red Sox","134","458","536","139","98","29","0","12","77","66","51","2","93","15","8","4","10","0","2",".303","5450"
"Paul Goldschmidt","Diamondbacks","160","602","710","182","107","36","3","36","103","125","99","19","145","3","5","0","25","15","7",".302","9218"
"Eric Hosmer","Royals","159","623","680","188","134","34","3","17","86","79","51","4","100","1","4","1","15","11","4",".302","3516"
"Dustin Pedroia","Red Sox","160","641","724","193","140","42","2","9","91","84","73","4","75","3","7","0","24","17","5",".301","8370"
"Victor Martinez","Tigers","159","605","668","182","132","36","0","14","68","83","54","10","62","1","8","0","23","0","2",".301","393"
"Josh Donaldson","Athletics","158","579","668","174","110","37","3","24","89","93","76","2","110","6","6","1","15","5","2",".301","5038"
"Matt Holliday","Cardinals","141","520","602","156","102","31","1","22","103","94","69","5","86","9","4","0","31","6","1",".300","1873"
"James Loney","Rays","158","549","598","164","118","33","0","13","54","75","44","6","77","0","4","1","16","3","1",".299","4556"
"Jacoby Ellsbury","Red Sox","134","577","636","172","124","31","8","9","92","53","47","3","92","5","2","1","12","52","4",".298","4727"
"Marco Scutaro","Giants","127","488","547","145","117","23","3","2","57","31","45","0","34","2","3","9","13","2","0",".297","1555"
"Howie Kendrick","Angels","122","478","513","142","104","21","4","13","55","54","23","5","89","6","3","3","16","6","3",".297","4229"
"Carlos Beltran","Cardinals","145","554","600","164","107","30","3","24","79","84","38","1","90","1","6","1","12","2","1",".296","589"
"Buster Posey","Giants","148","520","595","153","103","34","1","15","61","72","60","8","70","8","7","0","15","2","1",".294","9166"
"Jean Segura","Brewers","146","588","623","173","131","20","10","12","74","49","25","1","84","6","2","2","17","44","13",".294","5933"
"Shane Victorino","Red Sox","122","477","532","140","97","26","2","15","82","61","25","0","75","18","2","10","5","21","3",".294","1677"
"Adrian Gonzalez","Dodgers","157","583","641","171","117","32","0","22","69","100","47","6","98","1","10","0","12","1","0",".293","1908"
"Salvador Perez","Royals","138","496","526","145","104","25","3","13","48","79","21","2","63","4","5","0","13","0","0",".292","7304"
"Marlon Byrd","- - -","147","532","579","155","91","35","5","24","75","88","31","2","144","8","7","1","11","2","4",".291","950"
"Jed Lowrie","Athletics","154","603","662","175","113","45","2","15","80","75","50","3","91","2","4","3","17","1","0",".290","4418"
"Brandon Belt","Giants","150","509","571","147","87","39","4","17","76","67","52","4","125","6","3","1","4","5","2",".289","10264"
"Billy Butler","Royals","162","582","668","168","126","27","0","15","62","82","79","11","102","3","4","0","28","0","0",".289","7399"
"Adam Lind","Blue Jays","143","465","521","134","84","26","1","23","67","67","51","5","103","1","4","0","20","1","0",".288","8027"
"Nori Aoki","Brewers","155","597","674","171","140","20","3","8","80","37","55","1","40","11","3","8","9","20","12",".286","13075"
"Chris Davis","Orioles","160","584","673","167","71","42","1","53","103","138","72","12","199","10","7","0","4","4","1",".286","9272"
"Daniel Murphy","Mets","161","658","697","188","133","38","4","13","92","78","32","2","95","2","5","0","13","23","3",".286","4316"
"Adam Jones","Orioles","160","653","689","186","117","35","1","33","100","108","25","4","136","8","3","0","15","14","3",".285","6368"
"Shin-Soo Choo","Reds","154","569","712","162","105","34","2","21","107","54","112","5","133","26","2","3","3","20","11",".285","3174"
"Michael Brantley","Indians","151","556","611","158","119","26","3","10","66","73","40","1","67","4","8","3","11","17","4",".284","4106"
"Alexei Ramirez","White Sox","158","637","674","181","134","39","2","6","68","48","26","2","68","3","4","4","17","30","9",".284","5133"
"Jason Kipnis","Indians","149","564","658","160","103","36","4","17","86","84","76","3","143","3","10","5","10","30","7",".284","9776"
"Chase Utley","Phillies","131","476","531","135","86","25","6","18","73","69","45","4","79","5","5","0","12","8","3",".284","1679"
"Carlos Gomez","Brewers","147","536","590","152","91","27","10","24","80","73","37","2","146","10","6","1","11","40","7",".284","4881"
"Manny Machado","Orioles","156","667","710","189","121","51","3","14","88","71","29","0","113","2","3","9","15","6","7",".283","11493"
