"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Clayton Kershaw","Dodgers","11.64","1.62","7.17","0.58","33.8 %","4.7 %","29.1 %",".193","0.88",".281","78.3 %","57","53","54","2.13","1.99","0.14","2.09","2.24","2036"
"Jake Arrieta","Cubs","9.28","1.89","4.92","0.39","27.1 %","5.5 %","21.6 %",".184","0.86",".246","80.0 %","45","61","68","1.77","2.35","-0.58","2.61","2.75","4153"
"Gerrit Cole","Pirates","8.74","1.90","4.59","0.48","24.3 %","5.3 %","19.0 %",".235","1.09",".304","74.9 %","68","70","82","2.60","2.66","-0.06","3.16","3.23","13125"
"Jacob deGrom","Mets","9.66","1.79","5.39","0.75","27.3 %","5.1 %","22.2 %",".210","0.98",".271","78.0 %","68","70","75","2.54","2.70","-0.16","2.92","2.99","10954"
"Chris Sale","White Sox","11.82","1.81","6.52","0.99","32.1 %","4.9 %","27.2 %",".232","1.09",".323","73.2 %","86","66","64","3.41","2.73","0.68","2.60","2.52","10603"
"Zack Greinke","Dodgers","8.08","1.62","5.00","0.57","23.7 %","4.7 %","19.0 %",".185","0.84",".229","86.5 %","44","73","83","1.66","2.76","-1.10","3.22","3.27","1943"
"Max Scherzer","Nationals","10.86","1.34","8.12","1.06","30.7 %","3.8 %","26.9 %",".205","0.92",".268","79.6 %","71","72","74","2.79","2.77","0.03","2.88","2.63","3137"
"David Price","- - -","9.19","1.92","4.79","0.69","25.3 %","5.3 %","20.1 %",".227","1.08",".290","78.6 %","60","67","80","2.45","2.78","-0.32","3.24","3.27","3184"
"Carlos Carrasco","Indians","10.58","2.11","5.02","0.88","29.6 %","5.9 %","23.7 %",".226","1.07",".304","71.8 %","88","70","66","3.63","2.84","0.79","2.66","2.74","6632"
"Madison Bumgarner","Giants","9.65","1.61","6.00","0.87","26.9 %","4.5 %","22.4 %",".220","1.01",".282","77.9 %","78","78","78","2.93","2.87","0.05","3.02","3.00","5524"
"Chris Archer","Rays","10.70","2.80","3.82","0.81","29.0 %","7.6 %","21.4 %",".219","1.14",".295","73.1 %","83","73","74","3.23","2.90","0.33","3.01","3.08","6345"
"Dallas Keuchel","Astros","8.38","1.98","4.24","0.66","23.7 %","5.6 %","18.1 %",".216","1.02",".269","79.4 %","64","72","68","2.48","2.91","-0.43","2.75","2.84","9434"
"Jon Lester","Cubs","9.09","2.06","4.40","0.70","25.0 %","5.7 %","19.3 %",".236","1.12",".303","71.8 %","85","75","79","3.34","2.92","0.42","3.06","3.19","4930"
"Corey Kluber","Indians","9.93","1.82","5.44","0.89","27.7 %","5.1 %","22.6 %",".228","1.05",".297","71.4 %","85","73","75","3.49","2.97","0.51","3.05","2.98","2429"
"Tyson Ross","Padres","9.73","3.86","2.52","0.41","25.8 %","10.2 %","15.6 %",".235","1.31",".320","74.0 %","88","78","81","3.26","2.98","0.28","3.15","3.35","7872"
"Gio Gonzalez","Nationals","8.66","3.54","2.45","0.41","22.3 %","9.1 %","13.2 %",".264","1.42",".341","72.1 %","96","80","93","3.79","3.05","0.74","3.59","3.77","7448"
"Matt Harvey","Mets","8.94","1.76","5.08","0.86","24.9 %","4.9 %","20.0 %",".219","1.02",".272","78.7 %","73","79","84","2.71","3.05","-0.34","3.24","3.23","11713"
"Jose Quintana","White Sox","7.72","1.92","4.02","0.70","20.5 %","5.1 %","15.4 %",".269","1.27",".327","76.3 %","85","77","87","3.36","3.18","0.18","3.51","3.62","11423"
"Francisco Liriano","Pirates","9.88","3.38","2.93","0.72","26.5 %","9.1 %","17.5 %",".222","1.21",".293","74.2 %","88","84","81","3.38","3.19","0.19","3.16","3.38","3201"
"Carlos Martinez","Cardinals","9.22","3.16","2.92","0.65","24.4 %","8.3 %","16.0 %",".246","1.29",".318","78.8 %","79","84","85","3.01","3.21","-0.21","3.28","3.44","11682"
"Kyle Hendricks","Cubs","8.35","2.15","3.88","0.85","22.6 %","5.8 %","16.8 %",".241","1.16",".296","69.9 %","101","86","84","3.95","3.36","0.59","3.25","3.37","12049"
"A.J. Burnett","Pirates","7.85","2.69","2.92","0.60","20.5 %","7.0 %","13.5 %",".272","1.36",".336","77.8 %","83","88","91","3.18","3.36","-0.18","3.55","3.65","512"
"J.A. Happ","- - -","7.90","2.35","3.36","0.84","21.1 %","6.3 %","14.8 %",".258","1.27",".312","75.4 %","94","87","92","3.61","3.41","0.20","3.69","3.82","7410"
"Lance Lynn","Cardinals","8.57","3.49","2.46","0.67","22.2 %","9.1 %","13.2 %",".254","1.37",".319","78.9 %","79","90","100","3.03","3.44","-0.41","3.90","4.00","2520"
"Shelby Miller","Braves","7.50","3.20","2.34","0.57","19.9 %","8.5 %","11.4 %",".234","1.25",".285","73.8 %","78","91","105","3.02","3.45","-0.42","4.07","4.16","10197"
"Sonny Gray","Athletics","7.31","2.55","2.86","0.74","20.3 %","7.1 %","13.2 %",".216","1.08",".255","76.8 %","69","87","91","2.73","3.45","-0.73","3.69","3.80","12768"
"Cole Hamels","- - -","9.11","2.63","3.47","0.93","24.4 %","7.1 %","17.4 %",".235","1.19",".294","75.3 %","91","86","86","3.65","3.47","0.17","3.40","3.45","4972"
"Johnny Cueto","- - -","7.47","1.95","3.83","0.89","20.3 %","5.3 %","15.0 %",".239","1.13",".281","73.7 %","86","89","96","3.44","3.53","-0.09","3.78","3.81","6893"
"John Lackey","Cardinals","7.22","2.19","3.30","0.87","19.5 %","5.9 %","13.6 %",".251","1.21",".295","82.6 %","73","93","97","2.77","3.57","-0.80","3.77","3.90","1507"
"Yordano Ventura","Royals","8.60","3.20","2.69","0.77","22.5 %","8.4 %","14.1 %",".246","1.30",".307","72.5 %","100","90","89","4.08","3.57","0.51","3.60","3.69","11855"
"Collin McHugh","Astros","7.56","2.34","3.23","0.84","19.9 %","6.2 %","13.7 %",".260","1.28",".310","74.3 %","100","89","97","3.89","3.58","0.31","3.91","3.91","7531"
"Jake Odorizzi","Rays","7.97","2.44","3.26","0.96","21.4 %","6.6 %","14.9 %",".229","1.15",".271","77.0 %","86","91","98","3.35","3.61","-0.26","3.96","3.90","6397"
"Danny Salazar","Indians","9.49","2.58","3.68","1.12","25.8 %","7.0 %","18.8 %",".224","1.13",".278","74.5 %","84","89","86","3.45","3.62","-0.16","3.48","3.39","5867"
"Anthony DeSclafani","Reds","7.36","2.68","2.75","0.83","19.2 %","7.0 %","12.2 %",".268","1.35",".318","69.9 %","103","93","102","4.05","3.67","0.37","3.97","4.08","13050"
"Jason Hammel","Cubs","9.07","2.11","4.30","1.21","24.2 %","5.6 %","18.6 %",".238","1.16",".288","72.8 %","95","94","90","3.74","3.68","0.07","3.47","3.45","4538"
"Alex Wood","- - -","6.60","2.80","2.36","0.71","17.4 %","7.4 %","10.0 %",".268","1.36",".313","72.9 %","101","97","100","3.84","3.69","0.15","3.90","4.17","13781"
"Felix Hernandez","Mariners","8.52","2.59","3.29","1.03","23.1 %","7.0 %","16.1 %",".237","1.18",".288","77.8 %","91","94","82","3.53","3.72","-0.19","3.33","3.38","4772"
"Jordan Zimmermann","Nationals","7.32","1.74","4.21","1.07","19.7 %","4.7 %","15.0 %",".260","1.20",".302","74.5 %","93","98","98","3.66","3.75","-0.09","3.82","3.83","4505"
"Erasmo Ramirez","Rays","6.94","2.20","3.15","0.88","18.9 %","6.0 %","12.9 %",".235","1.13",".272","70.5 %","96","95","96","3.75","3.76","-0.02","3.88","3.90","10314"
"Wade Miley","Red Sox","6.83","2.97","2.30","0.79","17.7 %","7.7 %","10.0 %",".263","1.37",".307","69.7 %","107","96","101","4.46","3.81","0.65","4.08","4.24","8779"
"Edinson Volquez","Royals","6.96","3.23","2.15","0.72","18.2 %","8.5 %","9.8 %",".247","1.31",".290","73.1 %","87","97","105","3.55","3.82","-0.27","4.26","4.35","3990"
"Bartolo Colon","Mets","6.29","1.11","5.67","1.16","16.7 %","2.9 %","13.7 %",".276","1.24",".307","71.9 %","112","99","102","4.16","3.84","0.32","3.94","4.02","375"
"Andrew Cashner","Padres","8.04","3.22","2.50","0.93","20.5 %","8.2 %","12.3 %",".273","1.44",".330","65.6 %","116","101","99","4.34","3.85","0.48","3.84","4.00","8782"
"Garrett Richards","Angels","7.64","3.30","2.32","0.87","20.4 %","8.8 %","11.6 %",".231","1.24",".274","71.8 %","94","97","94","3.65","3.86","-0.22","3.80","3.94","9784"
"Michael Wacha","Cardinals","7.59","2.88","2.64","0.94","20.1 %","7.6 %","12.5 %",".232","1.21",".272","76.2 %","89","101","100","3.37","3.87","-0.49","3.88","4.02","14078"
"Brett Anderson","Dodgers","5.79","2.30","2.52","0.90","15.5 %","6.1 %","9.3 %",".276","1.33",".310","73.8 %","99","104","91","3.69","3.94","-0.25","3.51","3.46","8223"
"Jeff Locke","Pirates","6.90","3.21","2.15","0.80","17.5 %","8.2 %","9.4 %",".268","1.42",".312","67.1 %","117","103","102","4.49","3.95","0.54","3.94","4.18","2929"
"Kyle Gibson","Twins","6.70","3.01","2.23","0.83","17.7 %","7.9 %","9.7 %",".248","1.29",".287","73.0 %","93","97","98","3.84","3.96","-0.12","3.95","4.12","10123"
"Scott Kazmir","- - -","7.62","2.90","2.63","0.98","20.3 %","7.7 %","12.6 %",".233","1.21",".273","75.7 %","79","99","102","3.10","3.98","-0.88","4.14","4.10","4897"
"Mike Pelfrey","Twins","4.70","2.46","1.91","0.60","12.0 %","6.3 %","5.7 %",".301","1.48",".334","70.5 %","104","98","110","4.26","4.00","0.27","4.45","4.59","5203"
"Yovani Gallardo","Rangers","5.91","3.32","1.78","0.73","15.3 %","8.6 %","6.7 %",".267","1.42",".303","77.2 %","81","97","107","3.42","4.00","-0.58","4.31","4.59","8173"
"Ubaldo Jimenez","Orioles","8.22","3.33","2.47","0.98","21.2 %","8.6 %","12.6 %",".256","1.36",".309","73.8 %","101","96","95","4.11","4.01","0.10","3.83","3.93","3374"
"Chris Heston","Giants","7.14","3.24","2.20","0.81","18.9 %","8.6 %","10.3 %",".253","1.31",".299","73.4 %","106","109","102","3.95","4.02","-0.07","3.98","4.07","10302"
"Mike Fiers","- - -","8.98","3.19","2.81","1.20","23.7 %","8.4 %","15.2 %",".234","1.25",".283","75.1 %","93","101","103","3.69","4.03","-0.34","4.04","3.84","7754"
"Taijuan Walker","Mariners","8.33","2.12","3.93","1.33","22.2 %","5.7 %","16.6 %",".248","1.20",".291","67.8 %","118","102","94","4.56","4.07","0.50","3.82","3.69","11836"
