"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Zack Greinke","Dodgers","19","3","1.66","32","32","1","0","0","0","0","222.2","843","148","43","41","14","40","1","5","7","0","200","1943"
"Jake Arrieta","Cubs","22","6","1.77","33","33","4","3","0","0","0","229.0","870","150","52","45","10","48","2","6","6","0","236","4153"
"Clayton Kershaw","Dodgers","16","7","2.13","33","33","4","3","0","0","0","232.2","890","163","62","55","15","42","1","5","9","3","301","2036"
"David Price","- - -","18","5","2.45","32","32","3","1","0","0","0","220.1","888","190","70","60","17","47","2","3","4","0","225","3184"
"Dallas Keuchel","Astros","20","8","2.48","33","33","3","2","0","0","0","232.0","911","185","68","64","17","51","0","2","9","0","216","9434"
"Jacob deGrom","Mets","14","8","2.54","30","30","0","0","0","0","0","191.0","751","149","59","54","16","38","2","2","6","0","205","10954"
"Gerrit Cole","Pirates","19","8","2.60","32","32","0","0","0","0","0","208.0","832","183","71","60","11","44","1","10","7","0","202","13125"
"Matt Harvey","Mets","13","8","2.71","29","29","0","0","0","0","0","189.1","755","156","62","57","18","37","2","5","4","0","188","11713"
"Sonny Gray","Athletics","14","7","2.73","31","31","3","2","0","0","0","208.0","831","166","71","63","17","59","0","2","13","0","169","12768"
"John Lackey","Cardinals","13","10","2.77","33","33","1","0","0","0","0","218.0","896","211","71","67","21","53","5","4","5","3","175","1507"
"Max Scherzer","Nationals","14","12","2.79","33","33","4","3","0","0","0","228.2","899","176","74","71","27","34","2","5","10","1","276","3137"
"Madison Bumgarner","Giants","18","9","2.93","32","32","4","2","0","0","0","218.1","869","181","73","71","21","39","2","7","1","0","234","5524"
"Carlos Martinez","Cardinals","14","7","3.01","31","29","0","0","0","1","0","179.2","755","168","65","60","13","63","5","8","8","1","184","11682"
"Shelby Miller","Braves","6","17","3.02","33","33","2","2","0","0","0","205.1","860","183","82","69","13","73","8","6","5","2","171","10197"
