"Name","Team","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","SD","MD","playerid"
"Jon Lester","Cubs","4.99","-10.20","15.19","41.59","4.27","0.94","","0.87","0.93","30","3.51","1.79","0","0","4930"
"Johnny Cueto","Giants","4.62","-12.82","17.44","32.25","3.41","1.02","","0.87","1.31","27","3.47","1.04","0","0","6893"
"Kyle Hendricks","Cubs","4.31","-8.34","12.65","43.94","4.49","0.85","0.64","0.86","0.78","29","4.51","0.58","1","0","12049"
"Max Scherzer","Nationals","4.24","-11.79","16.03","37.66","3.92","0.90","","0.88","0.84","33","4.22","0.48","0","0","3137"
"Justin Verlander","Tigers","3.89","-12.99","16.87","37.47","3.79","0.96","","0.87","1.13","32","2.56","1.48","0","0","8700"
"Jose Fernandez","Marlins","3.56","-10.48","14.04","27.07","2.89","1.00","","0.87","0.92","29","3.01","0.54","0","0","11530"
"Tanner Roark","Nationals","3.40","-13.66","17.06","31.58","3.25","1.06","1.50","0.90","1.14","34","2.59","0.62","1","0","8753"
"Aaron Sanchez","Blue Jays","3.36","-12.91","16.27","32.56","3.22","1.08","","0.87","1.38","30","2.44","0.66","0","0","11490"
"Masahiro Tanaka","Yankees","2.90","-11.06","13.97","28.16","2.85","0.91","","0.87","1.02","31","2.61","0.57","0","0","15764"
"Madison Bumgarner","Giants","2.81","-13.76","16.56","26.09","2.76","0.99","","0.87","1.13","30","2.82","0.02","0","0","5524"
"Jose Quintana","White Sox","2.78","-13.64","16.42","29.35","3.01","1.03","","0.88","1.01","32","2.68","0.03","0","0","11423"
"Chris Sale","White Sox","2.72","-14.36","17.08","28.53","2.88","1.00","","0.88","1.21","26","3.15","-0.42","0","0","10603"
"Noah Syndergaard","Mets","2.71","-12.25","14.96","27.15","2.91","1.05","","0.90","1.11","31","2.47","0.12","1","0","11762"
"J.A. Happ","Blue Jays","2.59","-12.49","15.09","28.39","2.92","0.99","","0.87","1.28","32","2.06","0.57","0","0","7410"
