Name,Team,K-BB%,K/BB,WHIP,WPA
Chris Sale,Red Sox,31.1,7.16,0.97,3.73
Corey Kluber,Indians,29.5,7.36,0.87,4.72
Stephen Strasburg,Nationals,22.4,4.34,1.02,3.43
Max Scherzer,Nationals,27.3,4.87,0.9,4.47
Jimmy Nelson,Brewers,20.7,4.15,1.25,2.03
Clayton Kershaw,Dodgers,25.3,6.73,0.95,4.18
Luis Severino,Yankees,22.9,4.51,1.04,2.96
Carlos Carrasco,Indians,22.6,4.91,1.1,3.42
Aaron Nola,Phillies,19.5,3.76,1.21,1.53
Zack Greinke,Diamondbacks,21.2,4.78,1.07,3.11
Chris Archer,Rays,22.2,4.15,1.26,-0.52
Jacob deGrom,Mets,21.8,4.05,1.19,1.78
Jeff Samardzija,Giants,20.4,6.41,1.14,-0.05
Michael Wacha,Cardinals,14.7,2.87,1.36,-0.74
Michael Fulmer,Tigers,11.0,2.85,1.15,0.67
Jose Quintana,Cubs,18.5,3.39,1.22,-0.52
Robbie Ray,Diamondbacks,22.1,3.07,1.15,2.04
Yu Darvish,Dodgers,19.7,3.6,1.16,0.98
Drew Pomeranz,Red Sox,14.2,2.52,1.35,2.43
Justin Verlander,Astros,17.3,3.04,1.17,3.21
Trevor Bauer,Indians,18.2,3.27,1.37,1.45
Marcus Stroman,Blue Jays,12.2,2.65,1.31,2.18
Mike Leake,Mariners,11.9,3.51,1.28,0.19
Sonny Gray,Yankees,14.2,2.68,1.21,-0.25
Carlos Martinez,Cardinals,17.0,3.06,1.22,1.43
Gio Gonzalez,Nationals,13.2,2.38,1.18,3.56
Patrick Corbin,Diamondbacks,14.2,2.92,1.42,0.81
Gerrit Cole,Pirates,16.6,3.56,1.25,0.63
Jon Lester,Cubs,15.7,3.0,1.32,0.07
Tanner Roark,Nationals,13.1,2.59,1.33,-1.51
Jake Arrieta,Cubs,15.3,2.96,1.22,0.81
Alex Cobb,Rays,11.3,2.91,1.22,2.22
Zach Davies,Brewers,8.5,2.25,1.35,0.64
Clayton Richard,Padres,10.7,2.56,1.52,-1.51
Jhoulys Chacin,Padres,10.6,2.13,1.27,1.2
Masahiro Tanaka,Yankees,20.4,4.73,1.24,0.21
Jason Hammel,Royals,12.1,3.02,1.43,-1.58
Dylan Bundy,Orioles,14.5,2.98,1.2,0.96
Luis Perdomo,Padres,7.4,1.82,1.51,-1.65
German Marquez,Rockies,14.0,3.0,1.38,0.92
Ty Blach,Giants,4.3,1.7,1.36,-0.52
Ivan Nova,Pirates,12.1,3.64,1.28,-0.18
Ervin Santana,Twins,12.3,2.74,1.13,2.75
Kevin Gausman,Orioles,13.2,2.52,1.49,0.98
Dan Straily,Marlins,14.3,2.83,1.3,-0.09
Rick Porcello,Red Sox,15.0,3.77,1.4,-0.97
Marco Estrada,Blue Jays,13.0,2.48,1.38,-0.45
Andrew Cashner,Rangers,3.1,1.34,1.32,1.58
Martin Perez,Rangers,6.4,1.83,1.54,-0.24
Jason Vargas,Royals,10.1,2.31,1.33,1.18
R.A. Dickey,Braves,8.5,2.03,1.37,-0.84
Matt Moore,Giants,10.3,2.21,1.53,-2.94
Lance Lynn,Cardinals,9.7,1.96,1.23,1.86
Julio Teheran,Braves,9.7,2.1,1.37,-0.44
Ricky Nolasco,Angels,10.8,2.47,1.45,-1.71
Jose Urena,Marlins,6.8,1.77,1.27,0.49
John Lackey,Cubs,13.1,2.81,1.28,-1.42
Jeremy Hellickson,Orioles,7.1,2.04,1.26,-2.34
