Name,Team,BB/K,OPS,wRAA,WPA
Mike Trout,Angels,1.04,1.071,49.6,5.29
Aaron Judge,Yankees,0.61,1.049,62.5,2.1
Joey Votto,Reds,1.61,1.032,64.0,4.76
Charlie Blackmon,Rockies,0.48,1.0,57.2,3.96
Giancarlo Stanton,Marlins,0.52,1.007,52.3,4.64
Freddie Freeman,Braves,0.68,0.989,37.3,3.08
Jose Altuve,Astros,0.69,0.957,47.0,3.51
Paul Goldschmidt,Diamondbacks,0.64,0.966,44.6,2.18
Justin Turner,Dodgers,1.05,0.945,36.0,3.15
Kris Bryant,Cubs,0.74,0.946,43.9,1.8
Tommy Pham,Cardinals,0.61,0.931,34.5,3.12
Jose Ramirez,Indians,0.75,0.957,41.1,1.07
Nolan Arenado,Rockies,0.58,0.959,42.6,4.29
Anthony Rendon,Nationals,1.02,0.937,37.4,2.26
Zack Cozart,Reds,0.79,0.933,30.5,2.27
Marcell Ozuna,Marlins,0.44,0.924,38.4,2.69
Ryan Zimmerman,Nationals,0.35,0.93,32.4,2.85
Nelson Cruz,Mariners,0.5,0.924,34.8,3.59
Daniel Murphy,Nationals,0.68,0.928,31.9,2.75
Marwin Gonzalez,Astros,0.49,0.907,26.5,3.08
Cody Bellinger,Dodgers,0.44,0.933,27.3,4.01
Anthony Rizzo,Cubs,1.01,0.899,34.3,4.47
Justin Upton,Angels,0.41,0.901,30.6,2.38
Jose Abreu,White Sox,0.29,0.906,32.1,2.89
Eric Hosmer,Royals,0.63,0.882,31.3,2.06
George Springer,Astros,0.58,0.889,29.2,2.99
Avisail Garcia,White Sox,0.3,0.885,25.7,2.22
Edwin Encarnacion,Indians,0.78,0.881,29.4,1.94
Domingo Santana,Brewers,0.41,0.875,26.1,1.66
Justin Smoak,Blue Jays,0.57,0.883,27.0,1.67
Eric Thames,Brewers,0.46,0.877,22.3,2.1
Gary Sanchez,Yankees,0.33,0.876,20.7,1.85
Yonder Alonso,Mariners,0.58,0.866,19.7,2.72
Buster Posey,Giants,0.92,0.861,21.4,0.91
Corey Seager,Dodgers,0.51,0.854,22.2,2.09
Joey Gallo,Rangers,0.38,0.869,19.2,0.52
Logan Morrison,Rays,0.54,0.868,21.2,0.31
Brian Dozier,Twins,0.55,0.856,24.4,1.13
Chris Taylor,Dodgers,0.35,0.85,19.3,2.54
Khris Davis,Athletics,0.37,0.864,22.1,3.21
Travis Shaw,Brewers,0.43,0.862,20.4,2.23
Matt Carpenter,Cardinals,0.87,0.835,20.9,1.41
Andrew McCutchen,Pirates,0.63,0.849,21.5,1.63
Mark Reynolds,Rockies,0.39,0.839,18.3,-0.37
Josh Reddick,Astros,0.6,0.847,16.6,2.09
Eugenio Suarez,Reds,0.57,0.828,18.9,1.51
Jonathan Schoop,Orioles,0.25,0.841,19.3,1.64
Jake Lamb,Diamondbacks,0.57,0.844,17.1,2.37
Francisco Lindor,Indians,0.65,0.842,19.4,2.57
Alex Bregman,Astros,0.57,0.827,15.8,1.07
Carlos Santana,Indians,0.94,0.818,16.5,0.56
Jay Bruce,Indians,0.41,0.832,15.1,2.14
Eddie Rosario,Twins,0.33,0.836,14.2,-0.15
Trey Mancini,Orioles,0.24,0.826,14.0,0.51
Joe Mauer,Twins,0.8,0.801,14.1,2.87
Yasiel Puig,Dodgers,0.64,0.833,13.3,1.38
Steven Souza Jr.,Rays,0.47,0.81,14.2,2.3
Christian Yelich,Marlins,0.58,0.807,15.8,2.4
Jed Lowrie,Athletics,0.73,0.808,14.3,1.54
Lorenzo Cain,Royals,0.54,0.803,14.0,1.21
Cesar Hernandez,Phillies,0.59,0.793,12.1,0.59
Mike Moustakas,Royals,0.36,0.835,12.0,0.67
Yulieski Gurriel,Astros,0.35,0.817,11.2,2.21
Elvis Andrus,Rangers,0.38,0.808,13.2,2.84
Matt Joyce,Athletics,0.58,0.808,10.0,0.56
David Peralta,Diamondbacks,0.46,0.796,10.2,0.31
DJ LeMahieu,Rockies,0.66,0.783,12.0,-0.65
Corey Dickerson,Rays,0.23,0.815,10.6,0.61
Nick Castellanos,Tigers,0.29,0.811,11.2,1.46
