Name,Team,BB/9,HR/9,K/9,BABIP,FIP,GB%,HR/FB,LOB%,WAR
Chris Sale,Red Sox,1.81,1.01,12.93,0.301,2.45,38.7,12.1,78.4,7.7
Corey Kluber,Indians,1.59,0.93,11.71,0.267,2.5,44.5,13.5,82.6,7.3
Max Scherzer,Nationals,2.47,0.99,12.02,0.245,2.9,36.5,10.8,80.7,6.0
Luis Severino,Yankees,2.37,0.98,10.71,0.272,3.07,50.6,14.0,75.5,5.7
Stephen Strasburg,Nationals,2.41,0.67,10.47,0.274,2.72,46.8,8.7,77.9,5.6
Carlos Carrasco,Indians,2.07,0.95,10.17,0.307,3.1,45.2,12.4,78.2,5.5
Zack Greinke,Diamondbacks,2.0,1.11,9.56,0.285,3.31,46.8,13.4,75.3,5.1
Jimmy Nelson,Brewers,2.46,0.82,10.21,0.34,3.05,50.3,12.6,74.4,4.9
Clayton Kershaw,Dodgers,1.54,1.18,10.39,0.267,3.07,47.9,15.9,87.4,4.6
Chris Archer,Rays,2.69,1.21,11.15,0.325,3.4,42.0,14.1,71.3,4.6
Jacob deGrom,Mets,2.64,1.25,10.68,0.305,3.5,45.3,16.1,76.3,4.4
Aaron Nola,Phillies,2.63,0.96,9.86,0.309,3.27,49.8,12.7,76.8,4.3
Justin Verlander,Astros,3.15,1.18,9.57,0.271,3.84,33.5,11.5,79.7,4.1
Jose Quintana,Cubs,2.91,1.1,9.87,0.301,3.68,44.8,13.2,71.4,3.9
Jeff Samardzija,Giants,1.39,1.3,8.88,0.303,3.61,41.5,13.8,67.5,3.8
Yu Darvish,Dodgers,2.8,1.3,10.08,0.283,3.83,40.7,15.1,75.6,3.5
Michael Fulmer,Tigers,2.19,0.71,6.23,0.273,3.67,49.2,8.8,65.6,3.5
Marcus Stroman,Blue Jays,2.78,0.94,7.34,0.31,3.9,62.1,17.8,78.1,3.4
Carlos Martinez,Cardinals,3.12,1.19,9.53,0.284,3.91,51.3,16.4,74.9,3.3
Gio Gonzalez,Nationals,3.54,0.94,8.42,0.258,3.93,45.8,11.1,81.6,3.3
Michael Wacha,Cardinals,2.99,0.92,8.58,0.327,3.63,48.0,11.6,71.5,3.2
Trevor Bauer,Indians,3.06,1.28,10.0,0.337,3.88,46.4,16.1,76.8,3.2
Robbie Ray,Diamondbacks,3.94,1.28,12.11,0.267,3.72,40.3,15.6,84.5,3.2
