Name,Team,OBP,SLG,BABIP,BB%,K%,Def,ISO,WAR,wOBA,wRC+
Aaron Judge,Yankees,0.422,0.627,0.357,18.7,30.7,-1.3,0.343,8.2,0.43,173
Jose Altuve,Astros,0.41,0.547,0.37,8.8,12.7,-0.1,0.202,7.5,0.405,160
Anthony Rendon,Nationals,0.403,0.533,0.314,13.9,13.6,15.8,0.232,6.9,0.394,142
Giancarlo Stanton,Marlins,0.376,0.631,0.288,12.3,23.6,-0.5,0.35,6.9,0.41,156
Mike Trout,Angels,0.442,0.629,0.318,18.5,17.8,-3.5,0.323,6.9,0.437,181
Kris Bryant,Cubs,0.409,0.537,0.334,14.3,19.2,2.3,0.242,6.7,0.399,146
Joey Votto,Reds,0.454,0.578,0.321,19.0,11.7,-5.3,0.258,6.6,0.428,165
Jose Ramirez,Indians,0.374,0.583,0.319,8.1,10.7,6.3,0.265,6.6,0.396,148
Charlie Blackmon,Rockies,0.399,0.601,0.371,9.0,18.6,1.7,0.27,6.5,0.414,141
Tommy Pham,Cardinals,0.411,0.52,0.368,13.4,22.1,4.5,0.214,5.9,0.398,148
Francisco Lindor,Indians,0.337,0.505,0.275,8.3,12.9,12.8,0.232,5.9,0.353,118
Corey Seager,Dodgers,0.375,0.479,0.352,10.9,21.4,12.6,0.184,5.7,0.364,127
Nolan Arenado,Rockies,0.373,0.586,0.32,9.1,15.6,9.0,0.277,5.6,0.395,129
Justin Turner,Dodgers,0.415,0.53,0.326,10.9,10.3,0.6,0.208,5.5,0.4,151
Mookie Betts,Red Sox,0.344,0.459,0.268,10.8,11.1,13.3,0.194,5.3,0.339,108
Paul Goldschmidt,Diamondbacks,0.404,0.563,0.343,14.1,22.1,-7.6,0.265,5.3,0.4,142
Justin Upton,Angels,0.361,0.54,0.341,11.7,28.3,-4.5,0.268,5.0,0.378,137
Zack Cozart,Reds,0.385,0.548,0.312,12.2,15.4,8.6,0.251,5.0,0.392,141
Brian Dozier,Twins,0.359,0.498,0.3,11.1,20.0,0.9,0.227,5.0,0.362,125
Andrelton Simmons,Angels,0.331,0.421,0.291,7.3,10.4,22.6,0.143,4.9,0.323,103
Marcell Ozuna,Marlins,0.376,0.548,0.355,9.4,21.2,-4.3,0.237,4.8,0.388,142
