Name,Team,W,L,G,GS,CG,IP,ERA,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP
Corey Kluber,Indians,18,4,29,29,5,203.2,2.25,141,21,36,265,56,0,0,0,51,5,0,2,3,777,4
Clayton Kershaw,Dodgers,18,4,27,27,1,175.0,2.31,136,23,30,202,49,0,0,2,45,0,0,0,0,679,4
Max Scherzer,Nationals,16,6,31,31,2,200.2,2.51,126,22,55,268,62,0,0,0,56,11,0,2,0,780,4
Stephen Strasburg,Nationals,15,4,28,28,1,175.1,2.52,131,13,47,204,55,0,0,0,49,7,0,5,1,701,3
Robbie Ray,Diamondbacks,15,5,28,28,1,162.0,2.89,116,23,71,218,57,0,0,0,52,5,0,3,1,665,8
Chris Sale,Red Sox,17,8,32,32,1,214.1,2.9,165,24,43,308,73,0,0,0,69,8,0,0,0,851,3
Gio Gonzalez,Nationals,15,9,32,32,0,201.0,2.96,158,21,79,188,69,0,0,0,66,7,0,5,0,827,7
Luis Severino,Yankees,14,6,31,31,0,193.1,2.98,150,21,51,230,73,0,0,0,64,6,0,0,0,783,6
Marcus Stroman,Blue Jays,13,9,33,33,2,201.0,3.09,201,21,62,164,82,0,0,1,69,6,0,1,0,834,3
Zack Greinke,Diamondbacks,17,7,32,32,1,202.1,3.2,172,25,45,215,80,0,0,0,72,0,0,0,0,801,12
Ervin Santana,Twins,16,8,33,33,5,211.1,3.28,177,31,61,167,85,0,0,1,77,8,0,2,3,864,12
Carlos Carrasco,Indians,18,6,32,32,1,200.0,3.29,173,21,46,226,73,0,0,0,73,10,0,2,0,798,10
Drew Pomeranz,Red Sox,17,6,32,32,0,173.2,3.32,166,19,69,174,69,0,0,0,64,4,0,0,0,740,6
Justin Verlander,Astros,15,8,33,33,0,206.0,3.36,170,27,72,219,80,0,0,0,77,4,0,4,0,849,5
Andrew Cashner,Rangers,11,11,28,28,0,166.2,3.4,156,15,64,86,75,0,0,1,63,9,0,0,0,704,10
Lance Lynn,Cardinals,11,8,33,33,0,186.1,3.43,151,27,78,153,80,0,0,0,71,10,0,5,0,776,2
Jimmy Nelson,Brewers,12,6,29,29,1,175.1,3.49,171,16,48,199,75,0,0,1,68,9,0,1,0,728,6
Jake Arrieta,Cubs,14,10,30,30,0,168.1,3.53,150,23,55,163,82,0,0,0,66,10,0,3,0,707,14
Jacob deGrom,Mets,15,10,31,31,1,201.1,3.53,180,28,59,239,87,0,0,0,79,2,0,5,0,827,7
Aaron Nola,Phillies,12,11,27,27,0,168.0,3.54,154,18,49,184,67,0,0,0,66,2,0,2,0,693,1
Sonny Gray,Yankees,10,12,27,27,1,162.1,3.55,139,19,57,153,79,0,0,0,64,3,0,1,0,678,11
Carlos Martinez,Cardinals,12,11,32,32,2,205.0,3.64,179,27,71,217,93,0,0,0,83,8,0,3,2,858,9
Alex Cobb,Rays,12,10,29,29,0,179.1,3.66,175,22,44,128,78,0,0,1,73,6,0,2,0,742,8
Jose Urena,Marlins,14,7,34,28,0,169.2,3.82,152,26,64,113,77,0,0,1,72,14,0,4,0,724,5
Michael Fulmer,Tigers,10,12,25,25,1,164.2,3.83,150,13,40,114,80,0,0,1,70,8,0,2,0,676,3
Yu Darvish,Dodgers,10,12,31,31,0,186.2,3.86,159,27,58,209,83,0,0,1,80,6,0,1,0,766,12
Jhoulys Chacin,Padres,13,10,32,32,0,180.1,3.89,157,19,72,153,82,0,0,1,78,14,0,5,0,765,7
Zach Davies,Brewers,17,9,33,33,0,191.1,3.9,204,20,55,124,90,0,0,0,83,9,0,3,0,817,2
Mike Leake,Mariners,10,13,31,31,0,186.0,3.92,201,20,37,130,93,0,0,0,81,9,0,3,0,782,3
Patrick Corbin,Diamondbacks,14,13,33,32,0,189.2,4.03,208,26,61,178,97,0,0,0,85,3,0,8,0,826,10
Chris Archer,Rays,10,12,34,34,0,201.0,4.07,193,27,60,249,101,0,0,0,91,5,0,0,0,852,15
Michael Wacha,Cardinals,12,9,30,30,1,165.2,4.13,170,17,55,158,82,0,0,0,76,3,0,3,1,701,5
Ivan Nova,Pirates,11,14,31,31,2,187.0,4.14,203,29,36,131,96,0,0,0,86,7,0,2,1,785,8
Jose Quintana,Cubs,11,11,32,32,1,188.2,4.15,170,23,61,207,92,0,0,1,87,10,0,4,1,790,8
Jason Vargas,Royals,18,11,32,32,1,179.2,4.16,181,27,58,134,84,0,0,1,83,5,0,2,1,756,6
Trevor Bauer,Indians,17,9,32,31,0,176.1,4.19,181,25,60,196,84,0,0,1,82,5,0,0,0,749,3
Dylan Bundy,Orioles,13,9,28,28,1,169.2,4.24,152,26,51,152,82,0,0,0,80,7,0,0,1,698,0
Gerrit Cole,Pirates,12,12,33,33,0,203.0,4.26,199,31,55,196,98,0,0,0,96,4,0,1,0,849,7
Dan Straily,Marlins,10,9,33,33,0,181.2,4.26,176,31,60,170,90,0,0,0,86,5,0,4,0,769,2
R.A. Dickey,Braves,10,10,31,31,0,190.0,4.26,193,26,67,136,99,0,0,2,90,10,0,3,0,815,13
Jon Lester,Cubs,13,8,32,32,1,180.2,4.33,179,26,60,180,101,0,0,0,87,4,0,3,0,763,3
German Marquez,Rockies,11,7,29,29,0,162.0,4.39,174,25,49,147,82,0,0,0,79,8,0,3,0,701,6
Jeff Samardzija,Giants,9,15,32,32,1,207.2,4.42,204,30,32,205,107,0,0,0,102,6,0,1,1,847,2
Julio Teheran,Braves,11,13,32,32,0,188.1,4.49,186,31,72,151,103,0,0,0,94,7,0,3,0,812,6
John Lackey,Cubs,12,12,31,30,0,170.2,4.59,165,36,53,149,93,0,0,2,87,12,0,3,0,731,11
Rick Porcello,Red Sox,11,17,33,33,2,203.1,4.65,236,38,48,181,125,0,0,0,105,6,0,1,0,885,5
Tanner Roark,Nationals,13,11,32,30,0,181.1,4.67,178,23,64,166,105,0,0,1,94,6,0,5,0,776,3
Luis Perdomo,Padres,8,11,29,29,0,163.2,4.67,182,17,65,118,97,0,0,2,85,8,0,3,0,716,11
Kevin Gausman,Orioles,11,12,34,34,0,186.2,4.68,208,29,71,179,99,0,0,1,97,5,0,0,0,816,8
Masahiro Tanaka,Yankees,13,12,30,30,1,178.1,4.74,180,35,41,194,100,0,0,0,94,7,0,1,1,752,7
Ty Blach,Giants,8,12,34,24,1,163.2,4.78,179,17,43,73,91,0,0,0,87,1,0,2,1,692,3
Clayton Richard,Padres,8,15,32,32,2,197.1,4.79,240,24,59,151,114,0,0,1,105,8,0,6,1,858,7
Martin Perez,Rangers,13,12,32,32,0,185.0,4.82,221,23,63,115,108,0,0,0,99,6,0,3,0,811,4
Ricky Nolasco,Angels,6,15,33,33,1,181.0,4.92,205,35,58,143,102,0,0,0,99,3,0,3,1,787,4
Marco Estrada,Blue Jays,10,9,33,33,0,186.0,4.98,186,31,71,176,104,0,0,0,103,2,0,0,0,806,1
Jason Hammel,Royals,8,13,32,32,0,180.1,5.29,209,26,48,145,109,0,0,1,106,9,0,2,0,804,7
Jeremy Hellickson,Orioles,8,11,30,30,0,164.0,5.43,160,35,47,96,105,0,0,1,99,8,0,2,0,695,4
