Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract_Yrs,Total_Salary,Salary
Anthony Swarzak,2017,Brewers,6,4,70,0,0,77.1,58,6,22,91,21,2,3,0,20,2,27,4,0,303,2,0.7,2.56,10.59,4.14,22.8,43.9,7.9,82.9,2.33,0.28600000000000003,2.74,1.03,2.54,2.2,2,14000000,7000000.0
Boone Logan,2017,Indians,1,0,38,0,0,21.0,20,2,9,28,13,0,1,0,11,1,4,0,0,91,0,0.86,3.86,12.0,3.11,20.9,50.0,14.3,62.5,4.71,0.353,3.16,1.38,0.45,0.3,1,2500000,2500000.0
Brandon Kintzler,2017,Nationals,4,3,72,0,0,71.1,66,5,16,39,25,29,6,0,24,3,10,2,0,288,1,0.63,2.02,4.92,2.44,8.0,54.9,8.3,76.9,3.03,0.271,3.77,1.15,1.88,0.9,2,10000000,5000000.0
Brandon Morrow,2017,Dodgers,6,0,45,0,0,43.2,31,0,9,50,10,2,1,0,10,1,10,1,0,170,2,0.0,1.85,10.31,5.56,24.1,45.0,0.0,75.6,2.06,0.282,1.55,0.92,1.34,1.7,2,21000000,10500000.0
Bryan Shaw,2017,Indians,4,6,79,0,0,76.2,71,5,22,73,36,3,3,0,30,0,26,3,0,312,3,0.59,2.58,8.57,3.32,16.4,55.9,10.6,66.3,3.52,0.311,2.96,1.21,0.65,1.6,3,27000000,9000000.0
Craig Stammen,2017,Padres,2,3,60,0,0,80.1,68,12,28,74,29,0,2,0,28,2,11,3,0,329,2,1.34,3.14,8.29,2.64,14.0,51.6,17.4,85.0,3.14,0.263,4.38,1.2,1.24,0.0,2,4500000,2250000.0
Doug Fister,2017,Red Sox,5,9,18,15,1,90.1,87,9,38,83,55,0,0,1,49,3,0,3,0,392,2,0.9,3.79,8.27,2.18,11.5,50.6,11.8,63.3,4.88,0.301,3.98,1.38,-1.25,1.4,1,4000000,4000000.0
Fernando Rodney,2017,Diamondbacks,5,4,61,0,0,55.1,40,3,26,65,29,39,6,0,26,2,0,3,0,231,7,0.49,4.23,10.57,2.5,16.9,52.2,7.0,61.1,4.23,0.27399999999999997,3.03,1.19,1.38,1.4,1,4500000,4500000.0
Hector Rondon,2017,Cubs,4,1,61,0,0,57.1,50,10,20,69,30,0,3,0,27,1,10,0,0,237,3,1.57,3.14,10.83,3.45,20.7,48.3,19.6,71.9,4.24,0.292,4.12,1.22,0.12,0.3,2,8500000,4250000.0
Jake McGee,2017,Rockies,0,2,62,0,0,57.1,47,4,16,58,23,3,3,0,23,1,20,0,0,229,5,0.63,2.51,9.1,3.63,18.3,40.5,6.5,70.2,3.61,0.287,2.93,1.1,1.33,1.5,3,27000000,9000000.0
Jared Hughes,2017,Brewers,5,3,67,0,0,59.2,49,4,24,48,21,1,3,0,20,6,12,5,0,244,6,0.6,3.62,7.24,2.0,9.8,62.2,12.9,79.0,3.02,0.278,3.93,1.22,0.76,0.5,2,4500000,2250000.0
Jhoulys Chacin,2017,Padres,13,10,32,32,0,180.1,157,19,72,153,82,0,0,1,78,14,0,5,0,765,7,0.95,3.59,7.64,2.13,10.6,49.1,11.4,74.4,3.89,0.272,4.26,1.27,1.2,2.3,2,15500000,7750000.0
Joe Smith,2017,Indians,3,0,59,0,0,54.0,46,4,10,71,20,1,1,0,20,1,21,1,0,214,0,0.67,1.67,11.83,7.1,28.5,49.6,10.5,72.0,3.33,0.32799999999999996,2.1,1.04,2.43,1.8,2,15000000,7500000.0
Juan Nicasio,2017,Cardinals,5,5,76,0,0,72.1,58,5,20,72,22,6,4,0,21,2,21,2,0,291,1,0.62,2.49,8.96,3.6,17.9,45.6,7.9,79.5,2.61,0.276,2.98,1.08,1.34,1.4,2,17000000,8500000.0
Luke Gregerson,2017,Astros,2,3,65,0,0,61.0,62,13,20,70,31,1,3,1,31,0,18,4,0,263,5,1.92,2.95,10.33,3.5,19.0,50.0,23.6,79.9,4.57,0.306,4.62,1.34,-0.98,0.0,2,11000000,5500000.0
Michael Pineda,2017,Yankees,8,4,17,17,0,96.1,103,20,21,92,55,0,0,1,47,2,0,0,0,410,5,1.87,1.96,8.6,4.38,17.3,50.9,22.5,72.5,4.39,0.302,4.66,1.29,-0.26,1.1,2,10000000,5000000.0
Mike Minor,2017,Royals,6,6,65,0,0,77.2,57,5,22,88,23,6,3,0,22,1,17,3,0,307,5,0.58,2.55,10.2,4.0,21.5,42.4,6.3,78.1,2.55,0.272,2.62,1.02,1.97,2.1,3,28000000,9333333.333333334
