Name,Yr,Team,G,AB,PA,H_b,1B,2B,3B,HR_b,R_b,RBI,BB_b,IBB_b,SO_b,BB%,K%,BB/K,BABIP_b,HBP_b,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,W,L,GS,CG,IP,H_p,HR_p,BB_p,SO_p,R_p,SV,BS,BK,ER,HBP_p,HLD,IBB_p,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP_p,FIP,WHIP,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Boone,2006,Indians,104,354.0,392.0,89.0,62.0,19.0,1.0,7.0,50.0,46.0,27.0,1.0,62.0,6.9,15.8,0.44,0.287,6.0,1.0,4.0,4.0,5.0,4.0,-10.8,0.119,0.302,-9.8,0.251,0.314,0.37,0.684,-0.8,79.0,-1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,925000.0,925000.0
Aaron Fultz,2006,Phillies,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-0.19,3.0,1.0,1.0,0.0,71.1,80.0,7.0,28.0,62.0,39.0,0.0,2.0,0.0,36.0,2.0,9.0,8.0,0.0,317.0,5.0,0.88,3.53,7.82,2.21,10.7,38.2,8.1,70.9,4.54,0.335,3.95,1.51,1.0,1650000.0,1650000.0
Adam Eaton,2006,Rangers,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,-0.56,7.0,4.0,13.0,0.0,65.0,78.0,11.0,24.0,43.0,38.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,0.0,291.0,0.0,1.52,3.32,5.95,1.79,6.5,37.3,13.3,75.1,5.12,0.321,5.32,1.57,3.0,24500000.0,8166666.666666668
Adam Kennedy,2006,Angels,139,451.0,503.0,123.0,87.0,26.0,6.0,4.0,50.0,55.0,39.0,5.0,72.0,7.8,14.3,0.54,0.313,5.0,5.0,3.0,15.0,16.0,10.0,3.8,0.111,0.312,-8.2,0.273,0.334,0.384,0.718,1.0,85.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10000000.0,3333333.333333333
Alan Embree,2006,Padres,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.53,4.0,3.0,0.0,0.0,52.1,50.0,4.0,15.0,53.0,21.0,0.0,0.0,0.0,19.0,0.0,16.0,2.0,0.0,221.0,0.0,0.69,2.58,9.11,3.53,17.2,43.0,7.3,74.1,3.27,0.309,2.97,1.24,2.0,5500000.0,2750000.0
Alex Cora,2006,Red Sox,96,235.0,264.0,56.0,46.0,7.0,2.0,1.0,31.0,18.0,19.0,1.0,29.0,7.2,11.0,0.66,0.268,6.0,0.0,4.0,4.0,6.0,2.0,2.9,0.06,0.277,-12.2,0.238,0.312,0.298,0.609,-0.1,58.0,-1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4000000.0,2000000.0
Alex Gonzalez,2006,Red Sox,111,388.0,429.0,99.0,64.0,24.0,2.0,9.0,48.0,50.0,22.0,1.0,67.0,5.1,15.6,0.33,0.282,5.0,7.0,7.0,6.0,1.0,0.0,14.6,0.142,0.3,-11.7,0.255,0.299,0.397,0.695,1.6,73.0,-1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14000000.0,4666666.666666667
Alfonso Soriano,2006,Nationals,159,647.0,728.0,179.0,90.0,41.0,2.0,46.0,119.0,95.0,67.0,16.0,160.0,9.2,22.0,0.42,0.3,9.0,3.0,2.0,3.0,41.0,17.0,-0.5,0.28300000000000003,0.377,28.1,0.277,0.35100000000000003,0.56,0.911,5.4,129.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,136000000.0,17000000.0
Andy Pettitte,2006,Astros,38,62.0,73.0,12.0,8.0,3.0,0.0,1.0,4.0,5.0,1.0,0.0,19.0,1.4,26.0,0.05,0.262,0.0,0.0,10.0,0.0,0.0,0.0,8.7,0.097,0.215,0.0,0.194,0.206,0.29,0.4970000000000001,3.4,20.0,-0.07,14.0,13.0,35.0,2.0,214.1,238.0,27.0,70.0,178.0,114.0,0.0,0.0,1.0,100.0,2.0,0.0,9.0,1.0,929.0,2.0,1.13,2.94,7.47,2.54,11.6,49.7,14.4,72.0,4.2,0.324,4.13,1.44,1.0,16000000.0,16000000.0
Aramis Ramirez,2006,Cubs,157,594.0,660.0,173.0,93.0,38.0,4.0,38.0,93.0,119.0,50.0,4.0,63.0,7.6,9.5,0.79,0.27,9.0,7.0,0.0,15.0,2.0,1.0,-0.6,0.269,0.381,28.1,0.29100000000000004,0.35200000000000004,0.561,0.912,3.7,125.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,75000000.0,15000000.0
