Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Aaron Fultz,2006,Phillies,3,1,66,1,0,71.1,80,7,28,62,39,0,2,0,36,2,9,8,0,317,5,0.88,3.53,7.82,2.21,10.7,38.2,8.1,70.9,4.54,0.335,3.95,1.51,-0.19,0.8,1.0,1650000.0,1650000.0
Adam Eaton,2006,Rangers,7,4,13,13,0,65.0,78,11,24,43,38,0,0,0,37,4,0,0,0,291,0,1.52,3.32,5.95,1.79,6.5,37.3,13.3,75.1,5.12,0.321,5.32,1.57,-0.56,0.4,3.0,24500000.0,8166666.666666668
Alan Embree,2006,Padres,4,3,73,0,0,52.1,50,4,15,53,21,0,0,0,19,0,16,2,0,221,0,0.69,2.58,9.11,3.53,17.2,43.0,7.3,74.1,3.27,0.309,2.97,1.24,0.53,1.1,2.0,5500000.0,2750000.0
Andy Pettitte,2006,Astros,14,13,36,35,2,214.1,238,27,70,178,114,0,0,1,100,2,0,9,1,929,2,1.13,2.94,7.47,2.54,11.6,49.7,14.4,72.0,4.2,0.324,4.13,1.44,-0.07,3.4,1.0,16000000.0,16000000.0
Barry Zito,2006,Athletics,16,10,34,34,0,221.0,211,27,99,151,99,0,0,2,94,13,0,5,0,945,4,1.1,4.03,6.15,1.53,5.5,38.3,9.0,78.5,3.83,0.281,4.89,1.4,2.27,2.2,7.0,126000000.0,18000000.0
Chad Bradford,2006,Mets,4,2,70,0,0,62.0,59,1,13,45,22,2,1,0,20,0,10,4,0,252,0,0.15,1.89,6.53,3.46,12.7,63.3,2.6,70.8,2.9,0.301,2.53,1.16,1.07,1.5,3.0,10500000.0,3500000.0
Chan Ho Park,2006,Padres,7,7,24,21,1,136.2,146,20,44,96,81,0,0,0,73,10,0,7,1,606,5,1.32,2.9,6.32,2.18,8.6,43.8,11.9,69.2,4.81,0.289,4.83,1.39,-0.72,0.8,1.0,600000.0,600000.0
Chris Reitsma,2006,Braves,1,2,27,0,0,28.0,46,7,8,13,27,8,4,0,27,3,3,3,0,142,0,2.25,2.57,4.18,1.63,3.5,49.6,20.6,63.6,8.68,0.35100000000000003,6.65,1.93,-0.85,-0.7,1.0,2050000.0,2050000.0
Danys Baez,2006,Orioles,5,6,57,0,0,59.2,60,3,17,39,35,9,8,0,30,7,12,3,0,257,3,0.45,2.56,5.88,2.29,8.6,39.7,3.8,61.4,4.53,0.298,3.7,1.29,-1.16,0.9,3.0,19000000.0,6333333.333333332
Darren Oliver,2006,Mets,4,1,45,0,0,81.0,70,13,21,60,33,0,0,0,31,3,3,2,0,333,1,1.44,2.33,6.67,2.86,11.7,48.6,15.1,80.5,3.44,0.242,4.64,1.12,0.81,0.0,1.0,1750000.0,1750000.0
David Riske,2006,Royals,1,2,41,0,0,44.0,40,6,17,28,20,0,1,0,19,3,2,1,0,189,0,1.23,3.48,5.73,1.65,5.8,36.0,10.3,77.5,3.89,0.252,5.01,1.3,-0.14,0.0,1.0,2250000.0,2250000.0
David Wells,2006,Padres,3,5,13,13,0,75.1,97,11,12,38,41,0,0,0,37,0,0,0,0,324,0,1.31,1.43,4.54,3.17,8.0,48.9,12.2,72.7,4.42,0.327,4.51,1.45,-0.34,0.9,1.0,3000000.0,3000000.0
Doug Brocail,2006,Padres,2,2,25,0,0,28.1,27,1,8,19,16,0,0,0,15,0,0,2,0,119,1,0.32,2.54,6.04,2.38,9.2,40.2,3.4,56.6,4.76,0.28600000000000003,3.11,1.24,-0.09,0.5,1.0,500000.0,500000.0
Gil Meche,2006,Mariners,11,8,32,32,1,186.2,183,24,84,156,106,0,0,2,93,8,0,2,0,811,4,1.16,4.05,7.52,1.86,8.9,43.1,11.3,70.0,4.48,0.295,4.63,1.43,-0.59,1.9,5.0,55000000.0,11000000.0
Guillermo Mota,2006,Mets,4,3,52,0,0,55.2,55,11,24,46,29,0,0,0,28,0,9,4,0,241,2,1.78,3.88,7.44,1.92,9.1,34.1,13.4,78.6,4.53,0.275,5.36,1.42,-0.34,-0.3,2.0,5000000.0,2500000.0
J.C. Romero,2006,Angels,1,2,65,0,0,48.1,57,3,28,31,40,0,1,0,36,1,7,2,0,226,1,0.56,5.21,5.77,1.11,1.3,57.0,6.8,56.2,6.7,0.331,4.47,1.76,-0.64,0.0,1.0,1600000.0,1600000.0
Jamie Walker,2006,Tigers,0,1,56,0,0,48.0,47,8,8,37,15,0,0,0,15,0,11,3,0,196,1,1.5,1.5,6.94,4.63,14.8,30.6,11.1,91.3,2.81,0.273,4.27,1.15,0.4,0.5,3.0,12000000.0,4000000.0
Jason Marquis,2006,Cardinals,14,16,33,33,0,194.1,221,35,75,96,136,0,0,1,130,16,0,2,0,870,2,1.62,3.47,4.45,1.28,2.4,42.6,13.1,66.9,6.02,0.287,5.9,1.52,-2.09,-0.5,3.0,21000000.0,7000000.0
Jason Schmidt,2006,Giants,11,9,32,32,3,213.1,189,21,80,180,94,0,0,1,85,6,0,6,1,894,11,0.89,3.38,7.59,2.25,11.2,37.4,7.9,73.7,3.59,0.277,3.95,1.26,2.43,3.8,3.0,47000000.0,15666666.666666664
Jeff Suppan,2006,Cardinals,12,7,32,32,0,190.0,207,21,69,104,100,0,0,0,87,8,0,6,0,837,8,0.99,3.27,4.93,1.51,4.2,46.8,10.8,72.3,4.12,0.293,4.7,1.45,0.63,1.9,4.0,42000000.0,10500000.0
Jeff Weaver,2006,Mariners,8,14,31,31,0,172.0,213,34,47,107,117,0,0,0,110,10,0,1,0,770,5,1.78,2.46,5.6,2.28,7.8,39.0,14.9,68.8,5.76,0.313,5.47,1.51,-2.47,0.3,1.0,8325000.0,8325000.0
Joe Borowski,2006,Marlins,3,3,72,0,0,69.2,63,7,33,64,31,36,7,0,29,2,0,7,0,304,1,0.9,4.26,8.27,1.94,10.2,32.5,7.1,76.0,3.75,0.28300000000000003,4.12,1.38,0.67,0.7,1.0,4250000.0,4250000.0
Joel Pineiro,2006,Mariners,8,13,40,25,1,165.2,209,23,64,87,123,1,1,1,117,10,4,13,0,753,4,1.25,3.48,4.73,1.36,3.1,47.6,13.4,63.8,6.36,0.327,5.24,1.65,-2.53,0.4,1.0,4000000.0,4000000.0
John Thomson,2006,Braves,2,7,18,15,0,80.1,93,11,32,46,55,0,0,0,43,2,1,4,0,361,1,1.23,3.59,5.15,1.44,3.9,43.8,11.3,64.5,4.82,0.304,5.05,1.56,-0.92,0.4,1.0,500000.0,500000.0
Jorge Sosa,2006,Mets,3,11,45,13,0,118.0,138,30,40,75,79,4,3,0,71,1,0,6,0,524,2,2.29,3.05,5.72,1.88,6.7,35.3,17.1,73.0,5.42,0.28600000000000003,6.22,1.51,-3.66,-0.9,1.0,1250000.0,1250000.0
Jose Mesa,2006,Rockies,1,5,79,0,0,72.1,73,9,36,39,32,1,7,1,31,5,19,6,0,315,4,1.12,4.48,4.85,1.08,1.0,46.1,10.6,80.9,3.86,0.28300000000000003,5.39,1.51,-0.13,-0.3,1.0,2500000.0,2500000.0
Justin Speier,2006,Blue Jays,2,0,58,0,0,51.1,47,5,21,55,18,0,3,0,17,1,25,3,0,222,4,0.88,3.68,9.64,2.62,15.3,30.1,6.9,82.3,2.98,0.3,3.56,1.32,0.49,1.0,4.0,18000000.0,4500000.0
Keith Foulke,2006,Red Sox,3,1,44,0,0,49.2,52,9,7,36,24,0,0,0,24,2,14,0,0,205,2,1.63,1.27,6.52,5.14,14.2,24.1,10.1,76.5,4.35,0.285,4.6,1.19,1.03,0.1,1.0,5000000.0,5000000.0
Kerry Wood,2006,Cubs,1,2,4,4,0,19.2,19,5,8,13,13,0,0,0,9,1,0,0,0,86,1,2.29,3.66,5.95,1.63,5.8,39.3,16.1,71.4,4.12,0.237,6.5,1.37,-0.22,-0.1,1.0,1750000.0,1750000.0
Kip Wells,2006,Cardinals,2,5,9,9,0,44.1,61,3,21,20,33,0,0,0,32,4,0,1,0,208,5,0.61,4.26,4.06,0.95,-0.5,50.9,6.4,64.8,6.5,0.363,4.82,1.85,-0.65,0.4,1.0,4000000.0,4000000.0
LaTroy Hawkins,2006,Orioles,3,2,60,0,0,60.1,73,4,15,27,30,0,4,0,30,0,16,3,0,261,2,0.6,2.24,4.03,1.8,4.6,44.2,5.3,70.4,4.48,0.321,3.86,1.46,0.93,0.7,1.0,3500000.0,3500000.0
Mark Mulder,2006,Cardinals,6,7,17,17,0,93.1,124,19,35,50,77,0,0,0,74,5,0,1,0,430,3,1.83,3.38,4.82,1.43,3.5,54.7,24.7,63.3,7.14,0.327,6.01,1.7,-2.19,-0.5,2.0,13000000.0,6500000.0
Miguel Batista,2006,Diamondbacks,11,8,34,33,3,206.1,231,18,84,110,116,0,0,1,105,6,0,5,1,910,14,0.79,3.66,4.8,1.31,2.9,51.7,9.2,69.3,4.58,0.308,4.52,1.53,-0.08,2.9,3.0,25000000.0,8333333.333333332
Mike Mussina,2006,Yankees,15,7,32,32,1,197.1,184,22,35,172,88,0,0,0,77,5,0,1,0,804,3,1.0,1.6,7.84,4.91,17.0,42.4,9.4,70.4,3.51,0.284,3.46,1.11,1.48,5.2,2.0,23000000.0,11500000.0
Mike Stanton,2006,Reds,7,7,82,0,0,67.2,70,2,27,48,30,8,6,1,30,2,15,11,0,290,5,0.27,3.59,6.38,1.78,7.2,42.1,2.4,71.7,3.99,0.322,3.4,1.43,0.34,1.2,2.0,5500000.0,2750000.0
Octavio Dotel,2006,Yankees,0,0,14,0,0,10.0,18,2,11,7,13,0,0,0,12,0,1,1,0,59,3,1.8,9.9,6.3,0.64,-6.8,36.6,11.1,61.1,10.8,0.41,7.65,2.9,-0.49,-0.2,1.0,5000000.0,5000000.0
Orlando Hernandez,2006,Mets,11,11,29,29,1,162.1,155,22,61,164,90,0,0,3,84,12,0,5,0,699,1,1.22,3.38,9.09,2.69,14.7,34.0,10.5,70.0,4.66,0.302,4.24,1.33,0.19,2.7,2.0,12000000.0,6000000.0
Ramon Ortiz,2006,Nationals,11,16,33,33,0,190.2,230,31,64,104,127,0,0,3,118,18,0,14,0,871,4,1.46,3.02,4.91,1.63,4.6,40.8,11.7,68.9,5.57,0.304,5.46,1.54,-2.14,0.2,1.0,3100000.0,3100000.0
Randy Wolf,2006,Phillies,4,0,12,12,0,56.2,63,13,33,44,37,0,0,0,35,2,0,2,0,261,2,2.06,5.24,6.99,1.33,4.2,37.3,16.5,76.4,5.56,0.29600000000000004,6.43,1.69,-0.28,-0.1,1.0,8000000.0,8000000.0
